"",BBK01.OEHB08O,BBK01.OEHB08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:20,
2002-01,24.905,
2002-04,25.116,
2002-07,25.380,
2002-10,25.535,
2003-01,25.605,
2003-04,25.817,
2003-07,26.139,
2003-10,26.403,
2004-01,26.432,
2004-04,26.552,
2004-07,26.689,
2004-10,26.733,
2005-01,26.944,
2005-04,27.047,
2005-07,27.260,
2005-10,27.489,
2006-01,27.531,
2006-04,27.638,
2006-07,27.803,
2006-10,27.938,
2007-01,27.967,
2007-04,28.029,
2007-07,28.126,
2007-10,28.245,
2008-01,28.158,
2008-04,28.184,
2008-07,28.425,
2008-10,28.489,
2009-01,28.371,
2009-04,28.397,
2009-07,28.595,
2009-10,28.757,
2010-01,28.836,
2010-04,29.112,
2010-07,29.527,
2010-10,29.679,
2011-01,29.546,
2011-04,29.726,
2011-07,30.007,
2011-10,30.346,
2012-01,30.450,
2012-04,30.706,
2012-07,31.160,
2012-10,31.488,
2013-01,31.621,
2013-04,31.875,
2013-07,32.091,
2013-10,32.292,
2014-01,32.335,
2014-04,32.599,
2014-07,32.940,
