"",BBK01.OECB01J,BBK01.OECB01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:07,
2002-01,2.884,
2002-04,2.938,
2002-07,2.824,
2002-10,2.720,
2003-01,2.684,
2003-04,2.676,
2003-07,2.612,
2003-10,2.371,
2004-01,2.372,
2004-04,2.416,
2004-07,2.331,
2004-10,2.205,
2005-01,2.960,
2005-04,2.978,
2005-07,2.986,
2005-10,2.886,
2006-01,2.898,
2006-04,2.878,
2006-07,2.796,
2006-10,2.645,
2007-01,2.624,
2007-04,2.682,
2007-07,2.752,
2007-10,2.502,
2008-01,2.484,
2008-04,2.533,
2008-07,2.573,
2008-10,2.460,
2009-01,2.451,
2009-04,2.477,
2009-07,2.422,
2009-10,2.355,
2010-01,2.378,
2010-04,2.445,
2010-07,2.357,
2010-10,2.302,
2011-01,2.372,
2011-04,2.436,
2011-07,2.398,
2011-10,2.410,
2012-01,2.381,
2012-04,8.577,
2012-07,8.382,
2012-10,2.561,
2013-01,2.830,
2013-04,2.439,
2013-07,2.452,
2013-10,2.448,
2014-01,2.437,
2014-04,2.424,
2014-07,2.391,
