"",BBK01.OECB19M,BBK01.OECB19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:42,
2002-01,0.211,
2002-04,0.206,
2002-07,0.207,
2002-10,0.200,
2003-01,0.189,
2003-04,0.190,
2003-07,0.182,
2003-10,0.168,
2004-01,0.176,
2004-04,0.170,
2004-07,0.166,
2004-10,0.162,
2005-01,1.556,
2005-04,0.199,
2005-07,0.195,
2005-10,0.225,
2006-01,0.225,
2006-04,0.266,
2006-07,0.264,
2006-10,0.607,
2007-01,0.245,
2007-04,0.226,
2007-07,0.247,
2007-10,0.203,
2008-01,0.190,
2008-04,0.171,
2008-07,0.175,
2008-10,0.175,
2009-01,0.173,
2009-04,0.172,
2009-07,0.164,
2009-10,0.145,
2010-01,0.153,
2010-04,0.182,
2010-07,0.220,
2010-10,0.235,
2011-01,0.229,
2011-04,0.236,
2011-07,0.255,
2011-10,0.272,
2012-01,0.279,
2012-04,0.261,
2012-07,0.268,
2012-10,0.269,
2013-01,0.264,
2013-04,0.258,
2013-07,0.242,
2013-10,0.228,
2014-01,0.221,
2014-04,0.216,
2014-07,0.219,
