"",BBK01.PQG350,BBK01.PQG350_FLAGS
"",Lending to domestic enterprises and resident individuals / Total / Land banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:38,
1958-10,5.047,
1959-01,-,Nothing exists
1959-04,5.326,
1959-07,-,Nothing exists
1959-10,5.988,
1960-01,-,Nothing exists
1960-04,6.292,
1960-07,-,Nothing exists
1960-10,7.169,
1961-01,-,Nothing exists
1961-04,7.813,
1961-07,-,Nothing exists
1961-10,8.583,
1962-01,-,Nothing exists
1962-04,9.341,
1962-07,-,Nothing exists
1962-10,10.321,
1963-01,-,Nothing exists
1963-04,10.936,
1963-07,-,Nothing exists
1963-10,11.774,
1964-01,-,Nothing exists
1964-04,12.428,
1964-07,-,Nothing exists
1964-10,13.170,
1965-01,13.564,
1965-04,13.986,
1965-07,14.543,
1965-10,15.056,
1966-01,15.256,
1966-04,15.762,
1966-07,16.008,
1966-10,16.156,
1967-01,16.131,
1967-04,16.378,
1967-07,16.546,
1967-10,17.117,
1968-01,17.116,
1968-04,17.612,
1968-07,17.922,
1968-10,19.280,
1969-01,19.636,
1969-04,20.147,
1969-07,20.582,
1969-10,21.803,
1970-01,22.540,
1970-04,23.555,
1970-07,24.685,
1970-10,26.434,
1971-01,26.818,
1971-04,27.549,
1971-07,28.764,
1971-10,30.735,
1972-01,31.139,
1972-04,32.585,
1972-07,38.586,
1972-10,40.280,
1973-01,40.750,
1973-04,42.054,
1973-07,44.251,
1973-10,45.783,
1974-01,46.021,
1974-04,46.549,
1974-07,47.901,
1974-10,49.145,
1975-01,49.512,
1975-04,50.068,
1975-07,49.892,
1975-10,51.101,
1976-01,50.565,
1976-04,52.834,
1976-07,53.128,
1976-10,53.222,
1977-01,53.586,
1977-04,54.342,
1977-07,54.773,
1977-10,56.308,
1978-01,56.440,
1978-04,57.186,
1978-07,57.808,
1978-10,59.307,
1979-01,59.399,
1979-04,60.655,
1979-07,61.450,
1979-10,62.706,
1980-01,62.841,
1980-04,64.021,
1980-07,64.647,
1980-10,67.493,
1981-01,67.916,
1981-04,68.669,
1981-07,69.812,
1981-10,71.551,
1982-01,71.136,
1982-04,71.263,
1982-07,72.885,
1982-10,74.812,
1983-01,73.897,
1983-04,79.053,
1983-07,80.147,
1983-10,82.101,
1984-01,81.115,
1984-04,81.732,
1984-07,82.992,
1984-10,84.647,
1985-01,84.398,
1985-04,85.181,
1985-07,85.680,
1985-10,87.304,
1986-01,87.218,
1986-04,87.201,
1986-07,87.453,
1986-10,88.597,
1987-01,86.950,
1987-04,87.189,
1987-07,87.385,
1987-10,87.688,
1988-01,86.578,
1988-04,86.517,
1988-07,85.859,
1988-10,87.152,
1989-01,85.673,
1989-04,86.148,
1989-07,87.090,
1989-10,88.846,
1990-01,88.099,
1990-04,89.196,
1990-07,89.251,
1990-10,93.818,
1991-01,98.183,
1991-04,100.920,
1991-07,103.157,
1991-10,110.376,
1992-01,135.964,
1992-04,139.961,
1992-07,139.014,
1992-10,137.395,
1993-01,150.132,
1993-04,153.254,
1993-07,158.419,
1993-10,164.483,
1994-01,164.201,
1994-04,167.015,
1994-07,169.760,
1994-10,176.177,
1995-01,168.792,
1995-04,172.927,
1995-07,176.018,
1995-10,181.964,
1996-01,182.557,
1996-04,184.255,
1996-07,188.110,
1996-10,197.309,
1997-01,198.037,
1997-04,202.019,
1997-07,205.199,
1997-10,213.198,
1998-01,212.016,
1998-04,216.332,
1998-07,220.190,
1998-10,227.303,
1999-01,231.562,
1999-04,240.382,
1999-07,240.011,
1999-10,246.922,
2000-01,250.345,
2000-04,254.311,
2000-07,257.748,
2000-10,263.070,
2001-01,265.912,
2001-04,270.020,
2001-07,270.062,
2001-10,275.554,
2002-01,274.671,
2002-04,275.707,
2002-07,279.357,
2002-10,279.624,
2003-01,277.825,
2003-04,276.938,
2003-07,280.819,
2003-10,276.799,
2004-01,280.622,
2004-04,279.600,
2004-07,262.458,
2004-10,256.370,
2005-01,255.548,
2005-04,256.629,
2005-07,262.836,
2005-10,258.256,
2006-01,264.369,
2006-04,265.073,
2006-07,271.706,
2006-10,264.045,
2007-01,267.706,
2007-04,265.248,
2007-07,276.286,
2007-10,274.737,
2008-01,279.790,
2008-04,286.021,
2008-07,288.704,
2008-10,285.465,
2009-01,291.957,
2009-04,292.933,
2009-07,284.660,
2009-10,278.278,
2010-01,276.398,
2010-04,277.539,
2010-07,269.697,
2010-10,268.951,
2011-01,265.629,
2011-04,262.744,
2011-07,274.857,
2011-10,271.812,
2012-01,273.844,
2012-04,271.874,
2012-07,278.735,
2012-10,257.325,
2013-01,253.161,
2013-04,251.659,
2013-07,228.460,
2013-10,227.403,
2014-01,224.628,
2014-04,222.647,
2014-07,222.156,
2014-10,222.033,
