"",BBK01.OELI06Q,BBK01.OELI06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:01,
2002-01,1.032,
2002-04,1.039,
2002-07,1.034,
2002-10,0.998,
2003-01,0.979,
2003-04,0.746,
2003-07,0.925,
2003-10,0.923,
2004-01,0.906,
2004-04,0.895,
2004-07,0.886,
2004-10,0.870,
2005-01,0.822,
2005-04,0.804,
2005-07,0.745,
2005-10,0.719,
2006-01,0.743,
2006-04,0.739,
2006-07,0.751,
2006-10,0.758,
2007-01,0.796,
2007-04,0.810,
2007-07,0.832,
2007-10,0.861,
2008-01,0.857,
2008-04,0.873,
2008-07,0.887,
2008-10,0.910,
2009-01,0.871,
2009-04,0.812,
2009-07,0.739,
2009-10,0.666,
2010-01,0.602,
2010-04,0.597,
2010-07,0.600,
2010-10,0.604,
2011-01,0.606,
2011-04,0.630,
2011-07,0.642,
2011-10,0.639,
2012-01,0.616,
2012-04,0.590,
2012-07,0.578,
2012-10,0.528,
2013-01,0.492,
2013-04,0.460,
2013-07,0.436,
2013-10,0.405,
2014-01,0.381,
2014-04,0.360,
2014-07,0.340,
