"",BBK01.OEAF38R,BBK01.OEAF38R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:47,
2002-01,0.059,
2002-04,0.062,
2002-07,0.062,
2002-10,0.066,
2003-01,0.072,
2003-04,0.065,
2003-07,0.066,
2003-10,0.067,
2004-01,0.063,
2004-04,0.067,
2004-07,0.061,
2004-10,0.056,
2005-01,0.059,
2005-04,0.060,
2005-07,0.064,
2005-10,0.064,
2006-01,0.063,
2006-04,0.081,
2006-07,0.085,
2006-10,0.084,
2007-01,0.082,
2007-04,0.072,
2007-07,0.071,
2007-10,0.071,
2008-01,0.078,
2008-04,0.077,
2008-07,0.086,
2008-10,0.084,
2009-01,0.080,
2009-04,0.086,
2009-07,0.093,
2009-10,0.094,
2010-01,0.093,
2010-04,0.093,
2010-07,0.096,
2010-10,0.098,
2011-01,0.103,
2011-04,0.104,
2011-07,0.106,
2011-10,0.105,
2012-01,0.106,
2012-04,0.106,
2012-07,0.109,
2012-10,0.110,
2013-01,0.111,
2013-04,0.132,
2013-07,0.129,
2013-10,0.130,
2014-01,0.129,
2014-04,0.130,
2014-07,0.137,
