"",BBK01.OECO03T,BBK01.OECO03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:45,
2002-01,0.156,
2002-04,0.296,
2002-07,0.079,
2002-10,0.087,
2003-01,0.105,
2003-04,0.095,
2003-07,0.085,
2003-10,0.104,
2004-01,0.109,
2004-04,0.094,
2004-07,0.091,
2004-10,0.100,
2005-01,0.211,
2005-04,0.191,
2005-07,0.161,
2005-10,0.169,
2006-01,0.212,
2006-04,0.186,
2006-07,0.184,
2006-10,0.204,
2007-01,0.247,
2007-04,0.180,
2007-07,0.175,
2007-10,0.189,
2008-01,0.207,
2008-04,0.179,
2008-07,0.156,
2008-10,0.191,
2009-01,0.192,
2009-04,0.142,
2009-07,0.167,
2009-10,0.189,
2010-01,0.195,
2010-04,0.139,
2010-07,0.092,
2010-10,0.112,
2011-01,0.147,
2011-04,0.172,
2011-07,0.177,
2011-10,0.113,
2012-01,0.172,
2012-04,0.140,
2012-07,0.115,
2012-10,0.107,
2013-01,0.203,
2013-04,0.130,
2013-07,0.115,
2013-10,0.093,
2014-01,0.099,
2014-04,0.091,
2014-07,0.103,
