"",BBK01.TUS017,BBK01.TUS017_FLAGS
"",,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:59:25,
1999-06,95903,
1999-07,112639,
1999-08,103092,
1999-09,89190,
1999-10,108864,
1999-11,84136,
1999-12,90571,
2000-01,102881,
2000-02,93125,
2000-03,112484,
2000-04,103902,
2000-05,99080,
2000-06,93069,
2000-07,110138,
2000-08,122599,
2000-09,108330,
2000-10,123092,
2000-11,131979,
2000-12,139240,
2001-01,119057,
2001-02,115526,
2001-03,119312,
2001-04,114657,
2001-05,116421,
2001-06,128197,
2001-07,121795,
2001-08,113989,
2001-09,111736,
2001-10,106106,
2001-11,106811,
2001-12,123051,
2002-01,112322,
2002-02,103683,
2002-03,106806,
2002-04,86634,
2002-05,101006,
2002-06,109089,
2002-07,98177,
2002-08,100280,
2002-09,104217,
2002-10,103936,
2002-11,111098,
2002-12,125480,
2003-01,124261,
2003-02,126341,
2003-03,130889,
2003-04,124982,
2003-05,151804,
2003-06,154987,
2003-07,144029,
2003-08,145164,
2003-09,151433,
2003-10,133021,
2003-11,145383,
2003-12,162282,
2004-01,157411,
2004-02,157633,
2004-03,141693,
2004-04,153749,
2004-05,173198,
2004-06,189442,
2004-07,196008,
2004-08,184758,
2004-09,173577,
2004-10,195064,
2004-11,199795,
2004-12,190435,
2005-01,185147,
2005-02,205183,
2005-03,184381,
2005-04,201739,
2005-05,190803,
2005-06,208087,
2005-07,215285,
2005-08,194556,
2005-09,211315,
2005-10,203084,
2005-11,195141,
2005-12,204042,
2006-01,227333,
2006-02,219135,
2006-03,224859,
2006-04,233351,
2006-05,227871,
2006-06,249083,
2006-07,254082,
2006-08,224609,
2006-09,237122,
2006-10,246301,
2006-11,234985,
2006-12,259397,
2007-01,235566,
2007-02,238070,
2007-03,240403,
2007-04,250516,
2007-05,240036,
2007-06,246616,
2007-07,251714,
2007-08,213687,
2007-09,227623,
2007-10,209179,
2007-11,217312,
2007-12,288083,
2008-01,196974,
2008-02,197123,
2008-03,238174,
2008-04,220624,
2008-05,218917,
2008-06,222928,
2008-07,214245,
2008-08,213386,
2008-09,287785,
2008-10,386070,
2008-11,347879,
2008-12,362979,
2009-01,295939,
2009-02,269142,
2009-03,242497,
2009-04,242586,
2009-05,268403,
2009-06,310782,
2009-07,261620,
2009-08,250936,
2009-09,233983,
2009-10,236553,
2009-11,225872,
2009-12,235158,
2010-01,217994,
2010-02,216307,
2010-03,213365,
2010-04,213830,
2010-05,218721,
2010-06,234528,
2010-07,124433,
2010-08,112463,
2010-09,94200,
2010-10,113662,
2010-11,102047,
2010-12,112685,
2011-01,92450,
2011-02,84883,
2011-03,81316,
2011-04,73126,
2011-05,59859,
2011-06,64594,
2011-07,53969,
2011-08,45360,
2011-09,40706,
2011-10,30308,
2011-11,31353,
2011-12,82389,
2012-01,68567,
2012-02,70769,
2012-03,92893,
2012-04,93391,
2012-05,94691,
2012-06,94503,
2012-07,89393,
2012-08,87942,
2012-09,86582,
2012-10,83402,
2012-11,77166,
2012-12,77876,
2013-01,56029,
2013-02,33947,
2013-03,30877,
2013-04,23459,
2013-05,17965,
2013-06,18450,
2013-07,17412,
2013-08,15606,
2013-09,16089,
2013-10,14440,
2013-11,14438,
2013-12,56870,
2014-01,36546,
2014-02,24046,
2014-03,30151,
2014-04,57180,
2014-05,63957,
2014-06,28445,
2014-07,19507,
2014-08,15493,
2014-09,23414,
2014-10,33020,
2014-11,28612,
2014-12,67582,
2015-01,46320,
