"",BBSF2.M.1.S.I0015.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:33,
2009-09,6,
2009-10,2,
2009-11,0,
2009-12,62,
2010-01,0,
2010-02,35,
2010-03,343,
2010-04,6,
2010-05,2,
2010-06,-,Nothing exists
2010-07,2,
2010-08,-,Nothing exists
2010-09,0,
2010-10,-,Nothing exists
2010-11,0,
2010-12,12,
2011-01,0,
2011-02,-,Nothing exists
2011-03,9,
2011-04,8,
2011-05,3,
2011-06,75,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,0,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,1,
2012-01,0,
2012-02,-,Nothing exists
2012-03,-,Nothing exists
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,-,Nothing exists
2012-07,-,Nothing exists
2012-08,26,
2012-09,-,Nothing exists
2012-10,-,Nothing exists
2012-11,31,
2012-12,-,Nothing exists
2013-01,19,
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,100,
2013-06,25,
2013-07,1,
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,1,
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,0,
2014-02,-,Nothing exists
2014-03,10,
2014-04,-,Nothing exists
2014-05,0,
2014-06,-,Nothing exists
2014-07,2,
2014-08,-,Nothing exists
2014-09,19,
2014-10,-,Nothing exists
2014-11,10,
