"",BBK01.OELO01H,BBK01.OELO01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:55,
2002-01,38.049,
2002-04,37.749,
2002-07,37.427,
2002-10,37.292,
2003-01,38.200,
2003-04,38.463,
2003-07,38.444,
2003-10,38.440,
2004-01,39.496,
2004-04,39.810,
2004-07,39.905,
2004-10,40.112,
2005-01,40.998,
2005-04,41.255,
2005-07,41.094,
2005-10,40.988,
2006-01,41.656,
2006-04,41.482,
2006-07,40.994,
2006-10,40.149,
2007-01,40.015,
2007-04,38.989,
2007-07,38.186,
2007-10,37.353,
2008-01,37.259,
2008-04,36.314,
2008-07,35.392,
2008-10,34.189,
2009-01,34.706,
2009-04,35.785,
2009-07,36.998,
2009-10,38.279,
2010-01,40.396,
2010-04,41.720,
2010-07,42.250,
2010-10,42.460,
2011-01,43.092,
2011-04,43.363,
2011-07,43.560,
2011-10,43.417,
2012-01,44.054,
2012-04,44.129,
2012-07,44.187,
2012-10,44.014,
2013-01,44.653,
2013-04,44.764,
2013-07,44.655,
2013-10,44.640,
2014-01,45.520,
2014-04,45.658,
2014-07,45.887,
