"",BBK01.OEXB10L,BBK01.OEXB10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:37,
2002-01,20.108,
2002-04,15.159,
2002-07,14.616,
2002-10,14.953,
2003-01,19.372,
2003-04,15.063,
2003-07,14.521,
2003-10,13.008,
2004-01,14.990,
2004-04,12.330,
2004-07,12.993,
2004-10,12.028,
2005-01,12.599,
2005-04,14.576,
2005-07,18.242,
2005-10,13.368,
2006-01,13.961,
2006-04,15.014,
2006-07,14.593,
2006-10,12.981,
2007-01,15.729,
2007-04,19.073,
2007-07,16.118,
2007-10,17.898,
2008-01,21.716,
2008-04,23.156,
2008-07,26.674,
2008-10,37.290,
2009-01,45.833,
2009-04,39.192,
2009-07,31.126,
2009-10,25.302,
2010-01,16.957,
2010-04,21.701,
2010-07,12.528,
2010-10,11.740,
2011-01,15.931,
2011-04,16.176,
2011-07,18.583,
2011-10,16.804,
2012-01,15.158,
2012-04,14.108,
2012-07,12.643,
2012-10,12.941,
2013-01,15.305,
2013-04,15.304,
2013-07,8.558,
2013-10,8.473,
2014-01,8.031,
2014-04,8.929,
2014-07,9.223,
