"",BBK01.OEHB22H,BBK01.OEHB22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:18,
2002-01,0.656,
2002-04,0.695,
2002-07,0.543,
2002-10,0.576,
2003-01,0.709,
2003-04,0.666,
2003-07,0.606,
2003-10,0.541,
2004-01,0.678,
2004-04,0.757,
2004-07,0.585,
2004-10,0.539,
2005-01,0.643,
2005-04,0.616,
2005-07,0.513,
2005-10,0.468,
2006-01,0.506,
2006-04,0.516,
2006-07,0.465,
2006-10,0.425,
2007-01,0.510,
2007-04,0.454,
2007-07,0.411,
2007-10,0.329,
2008-01,0.429,
2008-04,0.406,
2008-07,0.379,
2008-10,0.363,
2009-01,0.404,
2009-04,0.393,
2009-07,0.440,
2009-10,0.379,
2010-01,0.509,
2010-04,0.561,
2010-07,0.476,
2010-10,0.335,
2011-01,0.406,
2011-04,0.431,
2011-07,0.381,
2011-10,0.325,
2012-01,0.424,
2012-04,0.423,
2012-07,0.381,
2012-10,0.280,
2013-01,0.444,
2013-04,0.427,
2013-07,0.375,
2013-10,0.319,
2014-01,0.447,
2014-04,0.395,
2014-07,0.309,
