"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
2004-09,144.304,
2004-10,141.179,
2004-11,142.954,
2004-12,143.149,
2005-01,138.069,
2005-02,136.304,
2005-03,138.985,
2005-04,133.505,
2005-05,136.390,
2005-06,139.956,
2005-07,139.310,
2005-08,138.294,
2005-09,143.952,
2005-10,145.810,
2005-11,145.236,
2005-12,156.352,
2006-01,151.365,
2006-02,156.373,
2006-03,153.757,
2006-04,152.262,
2006-05,163.601,
2006-06,161.674,
2006-07,159.085,
2006-08,161.719,
2006-09,167.872,
2006-10,166.959,
2006-11,171.135,
2006-12,177.601,
2007-01,182.607,
2007-02,182.038,
2007-03,187.365,
2007-04,187.935,
2007-05,189.580,
2007-06,193.665,
2007-07,195.197,
2007-08,195.337,
2007-09,191.064,
2007-10,190.901,
2007-11,187.195,
2007-12,182.396,
2008-01,174.119,
2008-02,169.344,
2008-03,171.604,
2008-04,176.747,
2008-05,173.825,
2008-06,177.109,
2008-07,174.025,
2008-08,174.240,
2008-09,176.512,
2008-10,174.137,
2008-11,176.427,
2008-12,177.625,
2009-01,171.087,
2009-02,173.234,
2009-03,173.968,
2009-04,175.027,
2009-05,175.734,
2009-06,174.803,
2009-07,173.383,
2009-08,173.159,
2009-09,176.532,
2009-10,179.347,
2009-11,179.270,
2009-12,190.592,
2010-01,185.000,
2010-02,185.225,
2010-03,185.265,
2010-04,182.389,
2010-05,186.101,
2010-06,182.873,
2010-07,181.195,
2010-08,187.280,
2010-09,192.288,
2010-10,189.943,
2010-11,196.176,
2010-12,196.861,
2011-01,197.658,
2011-02,196.414,
2011-03,194.500,
2011-04,195.415,
2011-05,196.894,
2011-06,208.422,
2011-07,209.945,
2011-08,212.949,
2011-09,219.623,
2011-10,212.313,
2011-11,222.889,
2011-12,226.371,
2012-01,224.951,
2012-02,222.070,
2012-03,225.340,
2012-04,219.160,
2012-05,221.187,
2012-06,229.339,
2012-07,234.842,
2012-08,232.251,
2012-09,234.732,
2012-10,236.275,
2012-11,239.554,
2012-12,241.210,
2013-01,237.600,
2013-02,235.363,
2013-03,241.403,
2013-04,241.583,
2013-05,247.958,
2013-06,249.655,
2013-07,245.241,
2013-08,244.702,
2013-09,244.733,
2013-10,239.618,
2013-11,241.086,
2013-12,245.217,
2014-01,239.849,
2014-02,245.412,
2014-03,243.360,
2014-04,241.154,
2014-05,242.512,
2014-06,245.897,
2014-07,243.281,
2014-08,251.959,
2014-09,240.061,
2014-10,236.144,
2014-11,236.096,
2014-12,222.859,
