"",BBK01.SUD125S,BBK01.SUD125S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans to non-financial corporations up to EUR 1 million with an initial rate fixation of over 1 and up to 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:01,
2000-01,6.3347,Estimated value
2000-02,6.4237,Estimated value
2000-03,6.4135,Estimated value
2000-04,6.3893,Estimated value
2000-05,6.6174,Estimated value
2000-06,6.6205,Estimated value
2000-07,6.6967,Estimated value
2000-08,6.7432,Estimated value
2000-09,6.7532,Estimated value
2000-10,6.7461,Estimated value
2000-11,6.7451,Estimated value
2000-12,6.4982,Estimated value
2001-01,6.3386,Estimated value
2001-02,6.3440,Estimated value
2001-03,6.2295,Estimated value
2001-04,6.2330,Estimated value
2001-05,6.2833,Estimated value
2001-06,6.2585,Estimated value
2001-07,6.2516,Estimated value
2001-08,6.1438,Estimated value
2001-09,6.0181,Estimated value
2001-10,5.8147,Estimated value
2001-11,5.6749,Estimated value
2001-12,5.8317,Estimated value
2002-01,5.9186,Estimated value
2002-02,6.0056,Estimated value
2002-03,6.2327,Estimated value
2002-04,6.2761,Estimated value
2002-05,6.3106,Estimated value
2002-06,6.1856,Estimated value
2002-07,6.0754,Estimated value
2002-08,5.8720,Estimated value
2002-09,5.7014,Estimated value
2002-10,5.6804,Estimated value
2002-11,5.6158,Estimated value
2002-12,5.4687,Estimated value
