"",BBK01.OECL07L,BBK01.OECL07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:00,
2002-01,1.551,
2002-04,1.041,
2002-07,1.032,
2002-10,1.163,
2003-01,1.172,
2003-04,1.174,
2003-07,1.369,
2003-10,1.380,
2004-01,1.332,
2004-04,1.344,
2004-07,1.619,
2004-10,1.668,
2005-01,4.636,
2005-04,4.624,
2005-07,4.594,
2005-10,4.559,
2006-01,4.513,
2006-04,4.423,
2006-07,4.310,
2006-10,4.256,
2007-01,4.387,
2007-04,4.328,
2007-07,4.215,
2007-10,4.231,
2008-01,4.229,
2008-04,4.366,
2008-07,4.230,
2008-10,4.384,
2009-01,4.659,
2009-04,5.197,
2009-07,5.908,
2009-10,6.920,
2010-01,8.034,
2010-04,6.179,
2010-07,6.256,
2010-10,6.064,
2011-01,6.274,
2011-04,5.237,
2011-07,5.212,
2011-10,5.194,
2012-01,5.754,
2012-04,5.640,
2012-07,5.574,
2012-10,5.624,
2013-01,5.400,
2013-04,5.295,
2013-07,5.140,
2013-10,5.096,
2014-01,5.009,
2014-04,4.913,
2014-07,5.056,
