"",BBK01.OEAA53P,BBK01.OEAA53P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:08,
2002-01,1.560,
2002-04,1.519,
2002-07,1.536,
2002-10,1.564,
2003-01,1.565,
2003-04,1.625,
2003-07,1.706,
2003-10,1.747,
2004-01,1.830,
2004-04,1.924,
2004-07,1.856,
2004-10,1.894,
2005-01,1.860,
2005-04,1.945,
2005-07,1.908,
2005-10,1.888,
2006-01,1.842,
2006-04,1.761,
2006-07,1.725,
2006-10,1.819,
2007-01,1.883,
2007-04,2.001,
2007-07,2.025,
2007-10,2.208,
2008-01,2.277,
2008-04,2.701,
2008-07,2.983,
2008-10,3.043,
2009-01,3.068,
2009-04,3.013,
2009-07,3.009,
2009-10,2.942,
2010-01,2.863,
2010-04,2.976,
2010-07,2.898,
2010-10,2.866,
2011-01,2.839,
2011-04,2.939,
2011-07,2.953,
2011-10,3.085,
2012-01,3.045,
2012-04,3.128,
2012-07,3.096,
2012-10,3.169,
2013-01,3.172,
2013-04,4.268,
2013-07,4.355,
2013-10,4.377,
2014-01,4.430,
2014-04,4.423,
2014-07,4.419,
