"",BBFB1.Q.N.DE.TR.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:54,
1991-01,822.132,
1991-04,658.234,
1991-07,718.737,
1991-10,783.244,
1992-01,845.184,
1992-04,698.356,
1992-07,774.615,
1992-10,892.699,
1993-01,748.674,
1993-04,698.536,
1993-07,784.503,
1993-10,942.594,
1994-01,837.933,
1994-04,704.949,
1994-07,849.260,
1994-10,965.493,
1995-01,901.883,
1995-04,873.188,
1995-07,969.292,
1995-10,1053.227,
1996-01,968.336,
1996-04,902.551,
1996-07,1025.962,
1996-10,1160.341,
1997-01,1170.057,
1997-04,1117.272,
1997-07,1210.718,
1997-10,1300.163,
1998-01,1310.331,
1998-04,1219.303,
1998-07,1362.700,
1998-10,1356.906,
1999-01,1313.647,
1999-04,1254.233,
1999-07,1329.135,
1999-10,1482.588,
2000-01,1417.270,
2000-04,1391.100,
2000-07,1472.618,
2000-10,1563.757,
2001-01,1475.504,
2001-04,1555.939,
2001-07,1543.971,
2001-10,1622.449,
2002-01,1520.090,
2002-04,1592.993,
2002-07,1654.208,
2002-10,1762.837,
2003-01,1706.760,
2003-04,1686.782,
2003-07,1680.139,
2003-10,1903.080,
2004-01,1746.239,
2004-04,1824.984,
2004-07,1999.294,
2004-10,2037.660,
2005-01,1807.673,
2005-04,1865.358,
2005-07,2014.372,
2005-10,2197.758,
2006-01,2142.873,
2006-04,2233.390,
2006-07,2099.727,
2006-10,2302.008,
2007-01,2433.943,
2007-04,2236.099,
2007-07,2346.383,
2007-10,2467.228,
2008-01,2463.205,
2008-04,2419.547,
2008-07,2295.878,
2008-10,2213.881,
2009-01,2177.849,
2009-04,1888.091,
2009-07,1968.543,
2009-10,2002.697,
2010-01,2219.038,
2010-04,2296.432,
2010-07,2467.722,
2010-10,2683.794,
2011-01,2845.529,
2011-04,2860.847,
2011-07,2804.428,
2011-10,2880.505,
2012-01,3034.532,
2012-04,2913.058,
2012-07,2872.397,
2012-10,2893.057,
2013-01,2954.943,
2013-04,2925.877,
2013-07,3033.362,
2013-10,3013.721,
2014-01,3210.815,Provisional value
2014-04,3185.080,Provisional value
2014-07,3247.534,Provisional value
