"",BBK01.CEHB0N,BBK01.CEHB0N_FLAGS
"",Long-term debt securities debtor: All sectors                       creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:27,
1991-01,2.8,
1991-04,4.2,
1991-07,8.6,
1991-10,14.5,
1992-01,4.7,
1992-04,2.0,
1992-07,26.9,
1992-10,28.3,
1993-01,35.5,
1993-04,28.5,
1993-07,17.5,
1993-10,26.5,
1994-01,-2.5,
1994-04,-11.2,
1994-07,7.5,
1994-10,17.8,
1995-01,8.3,
1995-04,13.8,
1995-07,8.4,
1995-10,13.6,
1996-01,13.7,
1996-04,7.5,
1996-07,15.3,
1996-10,15.7,
1997-01,21.6,
1997-04,10.0,
1997-07,15.8,
1997-10,15.3,
1998-01,18.5,
1998-04,10.1,
1998-07,37.2,
1998-10,12.7,
1999-01,38.3,
1999-04,25.6,
1999-07,31.4,
1999-10,12.5,
2000-01,10.3,
2000-04,27.7,
2000-07,19.6,
2000-10,16.9,
2001-01,16.8,
2001-04,18.2,
2001-07,22.6,
2001-10,22.7,
2002-01,30.0,
2002-04,37.2,
2002-07,21.8,
2002-10,-0.1,
2003-01,17.1,
2003-04,28.5,
2003-07,6.2,
2003-10,13.7,
2004-01,55.1,
2004-04,21.9,
2004-07,43.3,
2004-10,19.8,
2005-01,43.8,
2005-04,66.0,
2005-07,27.6,
2005-10,23.4,
2006-01,37.6,
2006-04,9.1,
2006-07,11.4,
2006-10,24.5,
2007-01,7.4,
2007-04,50.9,
2007-07,-31.2,
2007-10,19.0,
2008-01,-15.4,
2008-04,50.3,
2008-07,21.8,
2008-10,-35.2,
2009-01,-9.5,
2009-04,19.3,
2009-07,-45.8,
2009-10,0.3,
2010-01,41.1,
2010-04,13.6,
2010-07,-10.3,
2010-10,38.0,
2011-01,8.9,
2011-04,33.7,
2011-07,-2.2,
2011-10,-21.0,
2012-01,5.9,
2012-04,24.1,
2012-07,15.9,
2012-10,-0.3,
2013-01,3.0,
2013-04,-28.1,
2013-07,-13.5,
2013-10,4.8,
2014-01,3.4,
