"",BBFB1.M.N.DE.W1.S1.S1.T.D.SC21._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SC21._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Air transport / Passenger / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:23,
1991-01,186.522,
1991-02,221.453,
1991-03,285.424,
1991-04,273.185,
1991-05,287.809,
1991-06,350.396,
1991-07,376.117,
1991-08,362.394,
1991-09,312.379,
1991-10,352.283,
1991-11,338.146,
1991-12,457.433,
1992-01,207.216,
1992-02,280.324,
1992-03,311.342,
1992-04,315.759,
1992-05,319.165,
1992-06,314.154,
1992-07,376.421,
1992-08,442.156,
1992-09,356.985,
1992-10,363.229,
1992-11,321.459,
1992-12,469.607,
1993-01,191.953,
1993-02,243.566,
1993-03,342.157,
1993-04,369.084,
1993-05,325.846,
1993-06,366.406,
1993-07,292.940,
1993-08,254.260,
1993-09,487.123,
1993-10,309.747,
1993-11,309.490,
1993-12,379.208,
1994-01,180.244,
1994-02,249.751,
1994-03,310.056,
1994-04,312.917,
1994-05,345.395,
1994-06,335.249,
1994-07,373.857,
1994-08,395.611,
1994-09,347.044,
1994-10,352.050,
1994-11,331.554,
1994-12,418.307,
1995-01,200.632,
1995-02,247.206,
1995-03,314.268,
1995-04,329.991,
1995-05,360.645,
1995-06,431.170,
1995-07,423.483,
1995-08,412.330,
1995-09,414.737,
1995-10,418.097,
1995-11,338.942,
1995-12,461.940,
1996-01,221.319,
1996-02,231.766,
1996-03,334.741,
1996-04,329.735,
1996-05,370.087,
1996-06,356.457,
1996-07,435.947,
1996-08,383.776,
1996-09,388.275,
1996-10,357.020,
1996-11,332.433,
1996-12,406.117,
1997-01,206.602,
1997-02,282.501,
1997-03,305.027,
1997-04,352.241,
1997-05,363.332,
1997-06,346.919,
1997-07,506.754,
1997-08,425.648,
1997-09,371.228,
1997-10,479.650,
1997-11,373.543,
1997-12,497.674,
1998-01,294.423,
1998-02,315.462,
1998-03,285.813,
1998-04,448.834,
1998-05,393.712,
1998-06,393.236,
1998-07,484.060,
1998-08,498.137,
1998-09,442.033,
1998-10,463.577,
1998-11,440.534,
1998-12,512.142,
1999-01,245.232,
1999-02,323.020,
1999-03,289.563,
1999-04,433.468,
1999-05,370.469,
1999-06,429.455,
1999-07,441.508,
1999-08,422.058,
1999-09,451.018,
1999-10,449.407,
1999-11,451.403,
1999-12,474.912,
2000-01,225.618,
2000-02,331.086,
2000-03,303.032,
2000-04,443.143,
2000-05,431.032,
2000-06,426.922,
2000-07,474.396,
2000-08,452.659,
2000-09,460.217,
2000-10,451.962,
2000-11,455.016,
2000-12,482.458,
2001-01,267.852,
2001-02,351.384,
2001-03,302.772,
2001-04,453.244,
2001-05,418.105,
2001-06,436.043,
2001-07,471.517,
2001-08,472.537,
2001-09,405.898,
2001-10,406.858,
2001-11,432.972,
2001-12,462.912,
2002-01,281.096,
2002-02,516.511,
2002-03,568.720,
2002-04,596.867,
2002-05,565.324,
2002-06,502.200,
2002-07,621.899,
2002-08,683.163,
2002-09,586.120,
2002-10,517.582,
2002-11,616.875,
2002-12,526.695,
2003-01,540.990,
2003-02,435.706,
2003-03,429.146,
2003-04,553.166,
2003-05,485.522,
2003-06,448.001,
2003-07,690.133,
2003-08,538.262,
2003-09,700.048,
2003-10,573.208,
2003-11,527.257,
2003-12,520.358,
2004-01,581.988,
2004-02,526.006,
2004-03,641.766,
2004-04,512.559,
