"",BBK01.OEBB04S,BBK01.OEBB04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:39,
2002-01,7.130,
2002-04,7.086,
2002-07,6.990,
2002-10,6.912,
2003-01,6.860,
2003-04,6.893,
2003-07,6.953,
2003-10,7.025,
2004-01,6.969,
2004-04,6.920,
2004-07,6.985,
2004-10,6.973,
2005-01,8.136,
2005-04,8.231,
2005-07,8.243,
2005-10,8.203,
2006-01,8.308,
2006-04,8.368,
2006-07,8.482,
2006-10,8.569,
2007-01,8.585,
2007-04,8.736,
2007-07,8.808,
2007-10,8.983,
2008-01,8.910,
2008-04,8.915,
2008-07,8.965,
2008-10,9.028,
2009-01,9.077,
2009-04,9.802,
2009-07,9.897,
2009-10,10.038,
2010-01,10.055,
2010-04,10.071,
2010-07,10.227,
2010-10,10.283,
2011-01,10.459,
2011-04,10.556,
2011-07,10.681,
2011-10,10.873,
2012-01,10.946,
2012-04,11.030,
2012-07,11.128,
2012-10,11.168,
2013-01,11.270,
2013-04,11.289,
2013-07,11.351,
2013-10,11.416,
2014-01,11.370,
2014-04,11.344,
2014-07,11.434,
