"",BBK01.OELJ02S,BBK01.OELJ02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:26,
2002-01,0.260,
2002-04,0.236,
2002-07,0.253,
2002-10,0.303,
2003-01,0.309,
2003-04,0.320,
2003-07,0.324,
2003-10,0.394,
2004-01,0.351,
2004-04,0.363,
2004-07,0.377,
2004-10,0.396,
2005-01,0.364,
2005-04,0.360,
2005-07,0.357,
2005-10,0.440,
2006-01,0.342,
2006-04,0.326,
2006-07,0.340,
2006-10,0.480,
2007-01,0.390,
2007-04,0.360,
2007-07,0.351,
2007-10,0.441,
2008-01,0.374,
2008-04,0.346,
2008-07,0.436,
2008-10,0.524,
2009-01,0.502,
2009-04,0.442,
2009-07,0.524,
2009-10,0.668,
2010-01,0.654,
2010-04,0.611,
2010-07,0.658,
2010-10,0.755,
2011-01,0.718,
2011-04,0.693,
2011-07,0.767,
2011-10,1.102,
2012-01,0.928,
2012-04,0.871,
2012-07,0.992,
2012-10,1.067,
2013-01,0.998,
2013-04,1.035,
2013-07,1.104,
2013-10,1.212,
2014-01,1.189,
2014-04,1.164,
2014-07,1.207,
