"",BBK01.OEAC03K,BBK01.OEAC03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:43,
2002-01,1.690,
2002-04,1.642,
2002-07,1.657,
2002-10,1.550,
2003-01,1.408,
2003-04,1.493,
2003-07,1.527,
2003-10,1.613,
2004-01,2.119,
2004-04,2.076,
2004-07,2.149,
2004-10,2.110,
2005-01,2.172,
2005-04,2.165,
2005-07,2.205,
2005-10,2.402,
2006-01,2.475,
2006-04,2.552,
2006-07,2.509,
2006-10,2.573,
2007-01,1.678,
2007-04,1.630,
2007-07,1.551,
2007-10,1.604,
2008-01,3.045,
2008-04,3.250,
2008-07,3.327,
2008-10,3.766,
2009-01,4.028,
2009-04,4.155,
2009-07,4.208,
2009-10,4.092,
2010-01,4.216,
2010-04,4.462,
2010-07,4.450,
2010-10,4.563,
2011-01,4.404,
2011-04,4.443,
2011-07,4.882,
2011-10,5.075,
2012-01,4.968,
2012-04,4.621,
2012-07,4.797,
2012-10,4.666,
2013-01,4.758,
2013-04,4.877,
2013-07,4.874,
2013-10,4.823,
2014-01,4.885,
2014-04,5.139,
2014-07,5.336,
