"",BBFN1.M.DE.N.1.A.SE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:15,
1975-12,0.022,
1976-01,0.011,
1976-02,0.017,
1976-03,0.017,
1976-04,0.014,
1976-05,0.014,
1976-06,0.017,
1976-07,0.018,
1976-08,0.026,
1976-09,0.024,
1976-10,0.024,
1976-11,0.024,
1976-12,0.025,
1977-01,0.021,
1977-02,0.022,
1977-03,0.024,
1977-04,0.024,
1977-05,0.025,
1977-06,0.027,
1977-07,0.024,
1977-08,0.020,
1977-09,0.017,
1977-10,0.018,
1977-11,0.020,
1977-12,0.028,
1978-01,0.023,
1978-02,0.025,
1978-03,0.037,
1978-04,0.041,
1978-05,0.042,
1978-06,0.042,
1978-07,0.037,
1978-08,0.038,
1978-09,0.039,
1978-10,0.041,
1978-11,0.032,
1978-12,0.027,
1979-01,0.017,
1979-02,0.015,
1979-03,0.017,
1979-04,0.017,
1979-05,0.020,
1979-06,0.020,
1979-07,0.019,
1979-08,0.020,
1979-09,0.019,
1979-10,0.023,
1979-11,0.027,
1979-12,0.019,
1980-01,0.016,
1980-02,0.017,
1980-03,0.022,
1980-04,0.025,
1980-05,0.026,
1980-06,0.029,
1980-07,0.025,
1980-08,0.023,
1980-09,0.021,
1980-10,0.023,
1980-11,0.026,
1980-12,0.034,
1981-01,0.029,
1981-02,0.030,
1981-03,0.025,
1981-04,0.029,
1981-05,0.032,
1981-06,0.031,
1981-07,0.028,
1981-08,0.033,
1981-09,0.044,
1981-10,0.041,
1981-11,0.041,
1981-12,0.042,
1982-01,0.041,
1982-02,0.036,
1982-03,0.037,
1982-04,0.049,
1982-05,0.042,
1982-06,0.060,
1982-07,0.069,
1982-08,0.059,
1982-09,0.047,
1982-10,0.049,
1982-11,0.044,
1982-12,0.041,
1983-01,0.028,
1983-02,0.032,
