"",BBK01.OUK369,BBK01.OUK369_FLAGS
"",Loans to foreign enterprises and households for up to and including one year / Regional institutions of credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:17,
1999-01,1.208,
1999-02,1.439,
1999-03,1.039,
1999-04,1.344,
1999-05,1.655,
1999-06,1.786,
1999-07,1.414,
1999-08,1.305,
1999-09,1.428,
1999-10,1.520,
1999-11,1.604,
1999-12,1.515,
2000-01,1.598,
2000-02,1.492,
2000-03,1.294,
2000-04,1.461,
2000-05,1.673,
2000-06,1.413,
2000-07,1.430,
2000-08,1.689,
2000-09,1.976,
2000-10,2.317,
2000-11,2.855,
2000-12,2.636,
2001-01,2.006,
2001-02,2.343,
2001-03,2.648,
2001-04,2.558,
2001-05,2.782,
2001-06,2.721,
2001-07,2.478,
2001-08,2.544,
2001-09,3.422,
2001-10,2.999,
2001-11,2.402,
2001-12,2.209,
2002-01,2.182,
2002-02,2.174,
2002-03,1.654,
2002-04,1.956,
2002-05,1.701,
2002-06,1.718,
2002-07,1.626,
2002-08,1.574,
2002-09,1.305,
2002-10,1.375,
2002-11,1.321,
2002-12,1.214,
2003-01,0.930,
2003-02,1.289,
2003-03,1.263,
2003-04,1.187,
2003-05,1.423,
2003-06,1.450,
2003-07,1.484,
2003-08,1.252,
2003-09,1.256,
2003-10,1.503,
2003-11,1.253,
2003-12,1.270,
2004-01,1.430,
2004-02,1.542,
2004-03,1.538,
2004-04,1.865,
2004-05,1.771,
2004-06,1.809,
2004-07,1.946,
2004-08,2.246,
2004-09,2.502,
2004-10,2.877,
2004-11,3.810,
2004-12,1.841,
2005-01,2.814,
2005-02,2.763,
2005-03,3.134,
2005-04,3.649,
2005-05,4.273,
2005-06,4.949,
2005-07,4.469,
2005-08,4.441,
2005-09,4.393,
2005-10,4.525,
2005-11,4.767,
2005-12,3.735,
2006-01,5.321,
2006-02,5.187,
2006-03,5.031,
2006-04,5.192,
2006-05,6.103,
2006-06,5.959,
2006-07,5.057,
2006-08,5.387,
2006-09,5.001,
2006-10,5.832,
2006-11,6.678,
2006-12,2.246,
2007-01,2.226,
2007-02,2.285,
2007-03,2.237,
2007-04,2.922,
2007-05,3.063,
2007-06,3.695,
2007-07,3.798,
2007-08,5.963,
2007-09,6.927,
2007-10,8.338,
2007-11,8.312,
2007-12,9.545,
2008-01,10.282,
2008-02,10.179,
2008-03,10.594,
2008-04,10.018,
2008-05,10.764,
2008-06,10.258,
2008-07,10.899,
2008-08,10.797,
2008-09,10.088,
2008-10,10.603,
2008-11,8.049,
2008-12,8.287,
2009-01,7.346,
2009-02,7.232,
2009-03,6.281,
2009-04,6.935,
2009-05,6.687,
2009-06,10.339,
2009-07,6.419,
2009-08,5.542,
2009-09,6.220,
2009-10,6.900,
2009-11,7.289,
2009-12,6.443,
2010-01,5.868,
2010-02,5.880,
2010-03,5.686,
2010-04,5.264,
2010-05,5.192,
2010-06,5.157,
2010-07,4.610,
2010-08,5.176,
2010-09,4.910,
2010-10,4.667,
2010-11,5.262,
2010-12,4.806,
2011-01,5.111,
2011-02,4.993,
2011-03,4.994,
2011-04,4.598,
2011-05,5.443,
2011-06,5.369,
2011-07,5.323,
2011-08,4.999,
2011-09,4.317,
2011-10,4.576,
2011-11,4.661,
2011-12,4.530,
2012-01,3.610,
2012-02,3.548,
2012-03,3.566,
2012-04,3.550,
2012-05,3.648,
2012-06,4.009,
2012-07,4.494,
2012-08,4.544,
2012-09,4.725,
2012-10,5.572,
2012-11,5.302,
2012-12,5.114,
2013-01,4.541,
2013-02,5.072,
2013-03,5.850,
2013-04,5.258,
2013-05,4.923,
2013-06,5.363,
2013-07,5.113,
2013-08,5.269,
2013-09,6.535,
2013-10,6.414,
2013-11,6.358,
2013-12,6.162,
2014-01,7.595,
2014-02,7.675,
2014-03,7.640,
2014-04,6.772,
2014-05,7.178,
2014-06,7.627,
2014-07,7.337,
2014-08,7.173,
2014-09,5.811,
2014-10,5.354,
2014-11,4.201,
2014-12,3.973,Provisional value
