"",BBFB1.Q.N.DE.US.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.US.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:41,
1991-01,3.653,
1991-04,-42.629,
1991-07,82.820,
1991-10,0.629,
1992-01,-51.994,
1992-04,-4.998,
1992-07,96.592,
1992-10,46.544,
1993-01,85.539,
1993-04,-26.659,
1993-07,-6.128,
1993-10,-32.508,
1994-01,-2.645,
1994-04,149.583,
1994-07,91.664,
1994-10,244.971,
1995-01,184.400,
1995-04,232.056,
1995-07,-71.685,
1995-10,-122.425,
1996-01,521.514,
1996-04,22.667,
1996-07,65.354,
1996-10,354.538,
1997-01,329.627,
1997-04,459.100,
1997-07,212.024,
1997-10,-400.316,
1998-01,349.742,
1998-04,1672.926,
1998-07,-243.539,
1998-10,642.431,
1999-01,-578.662,
1999-04,-663.660,
1999-07,-413.923,
1999-10,785.992,
2000-01,-1017.198,
2000-04,494.045,
2000-07,359.444,
2000-10,1402.331,
2001-01,84.548,
2001-04,-2322.160,
2001-07,319.183,
2001-10,1095.228,
2002-01,-1194.299,
2002-04,275.312,
2002-07,-583.762,
2002-10,100.043,
2003-01,-471.640,
2003-04,438.945,
2003-07,162.722,
2003-10,-655.843,
2004-01,985.786,
2004-04,197.954,
2004-07,2833.880,
2004-10,805.675,
2005-01,1044.734,
2005-04,97.847,
2005-07,-683.942,
2005-10,225.512,
2006-01,58.438,
2006-04,-817.458,
2006-07,551.891,
2006-10,439.819,
2007-01,-380.515,
2007-04,788.525,
2007-07,-112.323,
2007-10,999.799,
2008-01,208.106,
2008-04,64.047,
2008-07,-1258.890,
2008-10,-2660.595,
2009-01,-162.930,
2009-04,1008.512,
2009-07,946.673,
2009-10,-23.487,
2010-01,1380.182,
2010-04,-698.517,
2010-07,935.972,
2010-10,-309.240,
2011-01,-809.424,
2011-04,-60.448,
2011-07,700.465,
2011-10,234.340,
2012-01,-1229.684,
2012-04,587.955,
2012-07,-112.523,
2012-10,-122.080,
2013-01,-528.346,
2013-04,997.476,
2013-07,443.302,
2013-10,801.651,
2014-01,-746.291,Provisional value
2014-04,-394.727,Provisional value
2014-07,477.828,Provisional value
2014-10,-119.570,Provisional value
