"",BBK01.OEBB11H,BBK01.OEBB11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:44,
2002-01,6.563,
2002-04,6.706,
2002-07,6.730,
2002-10,6.562,
2003-01,6.589,
2003-04,6.604,
2003-07,6.397,
2003-10,6.507,
2004-01,6.301,
2004-04,6.399,
2004-07,5.821,
2004-10,5.873,
2005-01,6.042,
2005-04,6.416,
2005-07,6.206,
2005-10,5.881,
2006-01,5.925,
2006-04,6.015,
2006-07,6.138,
2006-10,6.048,
2007-01,5.993,
2007-04,6.173,
2007-07,6.294,
2007-10,6.833,
2008-01,6.833,
2008-04,6.990,
2008-07,6.257,
2008-10,7.346,
2009-01,7.682,
2009-04,8.611,
2009-07,8.792,
2009-10,8.931,
2010-01,8.548,
2010-04,8.543,
2010-07,7.747,
2010-10,7.871,
2011-01,8.160,
2011-04,7.862,
2011-07,10.764,
2011-10,11.140,
2012-01,9.572,
2012-04,9.535,
2012-07,9.938,
2012-10,10.471,
2013-01,10.564,
2013-04,10.302,
2013-07,9.944,
2013-10,9.786,
2014-01,9.518,
2014-04,9.924,
2014-07,9.978,
