"",BBFN1.M.DE.N.1.A.NL.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NL.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:52,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.603,
1995-01,3.699,
1995-02,3.718,
1995-03,3.904,
1995-04,3.999,
1995-05,3.983,
1995-06,3.961,
1995-07,3.812,
1995-08,3.793,
1995-09,3.922,
1995-10,4.019,
1995-11,4.039,
1995-12,3.512,
1996-01,3.602,
1996-02,3.757,
1996-03,3.847,
1996-04,3.855,
1996-05,3.868,
1996-06,3.929,
1996-07,3.835,
1996-08,3.777,
1996-09,3.996,
1996-10,4.019,
1996-11,4.132,
1996-12,4.043,
1997-01,4.150,
1997-02,3.757,
1997-03,3.874,
1997-04,4.012,
1997-05,3.782,
1997-06,3.852,
1997-07,3.742,
1997-08,3.733,
1997-09,3.948,
1997-10,3.841,
1997-11,3.938,
1997-12,3.987,
1998-01,3.976,
1998-02,3.923,
1998-03,4.045,
1998-04,3.965,
1998-05,3.959,
1998-06,4.002,
1998-07,3.894,
1998-08,3.748,
1998-09,4.081,
1998-10,3.976,
1998-11,4.034,
1998-12,3.916,
1999-01,3.867,
1999-02,3.951,
1999-03,4.236,
1999-04,4.166,
1999-05,4.142,
1999-06,4.478,
1999-07,4.193,
1999-08,3.921,
1999-09,4.209,
1999-10,4.439,
1999-11,4.506,
1999-12,4.319,
2000-01,4.362,
2000-02,4.713,
2000-03,4.854,
2000-04,5.180,
2000-05,5.338,
2000-06,5.682,
2000-07,5.221,
2000-08,5.335,
2000-09,5.642,
2000-10,5.808,
2000-11,6.440,
2000-12,5.296,
2001-01,5.450,
2001-02,5.704,
2001-03,5.690,
2001-04,5.725,
2001-05,5.683,
2001-06,5.644,
2001-07,5.550,
2001-08,5.343,
2001-09,5.483,
2001-10,5.457,
2001-11,5.471,
2001-12,5.282,
2002-01,5.426,
2002-02,5.513,
2002-03,5.210,
2002-04,5.140,
2002-05,4.907,
2002-06,5.247,
2002-07,5.196,
2002-08,4.541,
2002-09,4.792,
2002-10,4.777,
2002-11,4.835,
2002-12,4.447,
2003-01,4.425,
2003-02,4.651,
2003-03,4.659,
2003-04,4.781,
2003-05,4.709,
2003-06,4.890,
2003-07,4.727,
2003-08,4.683,
2003-09,4.470,
2003-10,4.533,
2003-11,4.959,
2003-12,4.676,
2004-01,4.300,
2004-02,4.556,
2004-03,4.934,
2004-04,4.755,
2004-05,4.770,
2004-06,4.885,
2004-07,4.768,
2004-08,4.636,
2004-09,5.050,
2004-10,5.121,
2004-11,5.079,
2004-12,5.208,
2005-01,4.895,
2005-02,4.752,
2005-03,5.169,
2005-04,5.079,
2005-05,4.880,
2005-06,5.007,
2005-07,5.137,
2005-08,5.140,
2005-09,5.341,
2005-10,5.605,
2005-11,5.590,
2005-12,5.526,
2006-01,5.420,
2006-02,5.932,
2006-03,6.174,
2006-04,6.043,
2006-05,5.573,
2006-06,5.917,
2006-07,5.786,
2006-08,5.814,
2006-09,6.236,
2006-10,6.120,
2006-11,6.568,
2006-12,6.508,
2007-01,6.479,
2007-02,6.788,
2007-03,7.012,
2007-04,6.834,
2007-05,6.595,
2007-06,6.545,
2007-07,6.412,
2007-08,6.017,
2007-09,6.519,
2007-10,6.615,
2007-11,6.697,
2007-12,6.889,
2008-01,7.355,
2008-02,7.699,
2008-03,8.135,
2008-04,7.888,
2008-05,8.280,
2008-06,7.601,
2008-07,7.373,
2008-08,7.198,
2008-09,7.955,
2008-10,7.919,
2008-11,7.425,
2008-12,8.751,
2009-01,7.573,
2009-02,6.233,
2009-03,6.244,
2009-04,6.109,
2009-05,6.414,
2009-06,6.578,
2009-07,5.975,
2009-08,5.899,
2009-09,6.158,
2009-10,6.269,
2009-11,6.877,
2009-12,7.267,
2010-01,6.121,
2010-02,6.371,
2010-03,7.301,
2010-04,7.291,
2010-05,7.535,
2010-06,7.449,
2010-07,7.133,
2010-08,7.308,
2010-09,7.154,
2010-10,6.908,
2010-11,6.851,
2010-12,7.294,
2011-01,6.923,
2011-02,7.564,
2011-03,7.547,
2011-04,7.233,
2011-05,7.827,
2011-06,7.771,
2011-07,7.604,
2011-08,7.655,
2011-09,7.877,
2011-10,7.950,
2011-11,8.346,
2011-12,8.726,
2012-01,8.276,
2012-02,8.314,
2012-03,8.611,
2012-04,7.968,
2012-05,8.154,
2012-06,8.542,
2012-07,8.458,
2012-08,7.931,
2012-09,8.616,
2012-10,9.071,
2012-11,9.217,
2012-12,8.115,
2013-01,8.261,
2013-02,8.258,
2013-03,8.189,
2013-04,7.829,
2013-05,6.943,
2013-06,6.901,
2013-07,7.109,
2013-08,7.364,
2013-09,7.750,
2013-10,7.796,
2013-11,8.389,
2013-12,8.722,
2014-01,7.422,
2014-02,7.173,
2014-03,7.886,
2014-04,7.045,
2014-05,6.802,
2014-06,7.038,
2014-07,6.647,
2014-08,7.191,
2014-09,7.045,
2014-10,7.507,
2014-11,7.524,
2014-12,7.771,
