"",BBK01.OEYJ02I,BBK01.OEYJ02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:36,
2002-01,0.963,
2002-04,0.794,
2002-07,0.791,
2002-10,1.188,
2003-01,0.774,
2003-04,0.815,
2003-07,2.010,
2003-10,2.152,
2004-01,2.174,
2004-04,2.224,
2004-07,2.255,
2004-10,2.654,
2005-01,3.156,
2005-04,2.645,
2005-07,2.648,
2005-10,2.518,
2006-01,2.846,
2006-04,2.601,
2006-07,3.835,
2006-10,2.467,
2007-01,2.400,
2007-04,3.379,
2007-07,2.886,
2007-10,2.507,
2008-01,2.623,
2008-04,3.813,
2008-07,2.970,
2008-10,3.526,
2009-01,4.480,
2009-04,4.582,
2009-07,6.378,
2009-10,3.652,
2010-01,4.814,
2010-04,4.247,
2010-07,3.934,
2010-10,3.771,
2011-01,4.154,
2011-04,4.208,
2011-07,5.163,
2011-10,3.838,
2012-01,4.961,
2012-04,4.531,
2012-07,4.435,
2012-10,5.330,
2013-01,6.392,
2013-04,6.838,
2013-07,5.769,
2013-10,6.223,
2014-01,5.914,
2014-04,6.073,
2014-07,6.398,
