"",BBK01.OEAC48T,BBK01.OEAC48T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:47,
2002-01,0.819,
2002-04,0.806,
2002-07,0.797,
2002-10,0.750,
2003-01,0.749,
2003-04,0.659,
2003-07,0.667,
2003-10,0.654,
2004-01,0.587,
2004-04,0.569,
2004-07,0.541,
2004-10,0.549,
2005-01,0.511,
2005-04,0.501,
2005-07,0.507,
2005-10,0.540,
2006-01,0.519,
2006-04,0.621,
2006-07,0.625,
2006-10,0.637,
2007-01,0.610,
2007-04,0.588,
2007-07,0.601,
2007-10,0.603,
2008-01,0.611,
2008-04,0.627,
2008-07,0.642,
2008-10,0.669,
2009-01,0.875,
2009-04,0.972,
2009-07,1.012,
2009-10,1.457,
2010-01,1.339,
2010-04,1.321,
2010-07,1.447,
2010-10,1.563,
2011-01,1.626,
2011-04,1.682,
2011-07,1.824,
2011-10,1.942,
2012-01,2.053,
2012-04,2.112,
2012-07,2.160,
2012-10,2.152,
2013-01,2.208,
2013-04,2.266,
2013-07,2.278,
2013-10,2.217,
2014-01,2.110,
2014-04,2.076,
2014-07,2.128,
