"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.FI.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.FI.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Finland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:38,
2009-09,105,
2009-10,101,
2009-11,167,
2009-12,174,
2010-01,173,
2010-02,182,
2010-03,176,
2010-04,198,
2010-05,213,
2010-06,209,
2010-07,220,
2010-08,222,
2010-09,182,
2010-10,181,
2010-11,232,
2010-12,239,
2011-01,248,
2011-02,205,
2011-03,205,
2011-04,242,
2011-05,267,
2011-06,268,
2011-07,277,
2011-08,276,
2011-09,263,
2011-10,256,
2011-11,246,
2011-12,216,
2012-01,247,
2012-02,267,
2012-03,267,
2012-04,338,
2012-05,368,
2012-06,367,
2012-07,384,
2012-08,383,
2012-09,423,
2012-10,395,
2012-11,400,
2012-12,407,
2013-01,389,
2013-02,411,
2013-03,406,
2013-04,395,
2013-05,375,
2013-06,414,
2013-07,419,
2013-08,458,
2013-09,448,
2013-10,424,
2013-11,408,
2013-12,391,
2014-01,419,
2014-02,460,
2014-03,454,
2014-04,432,
2014-05,419,
2014-06,422,
2014-07,405,
2014-08,401,
2014-09,396,
2014-10,439,
2014-11,452,
