"",BBK01.CELI02,BBK01.CELI02_FLAGS
"",Listed Shares                                             debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:46,
1999-01,31.8,
1999-04,-4.0,
1999-07,-2.4,
1999-10,34.6,
2000-01,48.4,
2000-04,-31.0,
2000-07,12.3,
2000-10,36.4,
2001-01,42.1,
2001-04,-22.9,
2001-07,-16.8,
2001-10,17.6,
2002-01,11.9,
2002-04,-5.1,
2002-07,-0.3,
2002-10,-5.3,
2003-01,-7.5,
2003-04,7.0,
2003-07,-14.8,
2003-10,9.1,
2004-01,6.2,
2004-04,-17.7,
2004-07,-17.6,
2004-10,21.5,
2005-01,-4.5,
2005-04,-7.2,
2005-07,6.8,
2005-10,8.9,
2006-01,20.1,
2006-04,10.9,
2006-07,18.3,
2006-10,16.9,
2007-01,-30.4,
2007-04,-13.8,
2007-07,-25.3,
2007-10,33.4,
2008-01,-16.8,
2008-04,-6.0,
2008-07,-11.1,
2008-10,-24.7,
2009-01,28.5,
2009-04,-9.5,
2009-07,-8.6,
2009-10,-0.6,
2010-01,3.2,
2010-04,6.8,
2010-07,-6.3,
2010-10,10.5,
2011-01,7.5,
2011-04,-3.3,
2011-07,-28.5,
2011-10,8.5,
2012-01,-10.6,
2012-04,-11.7,
2012-07,-5.3,
2012-10,11.8,
2013-01,12.8,
2013-04,3.6,
2013-07,10.3,
2013-10,-9.0,
2014-01,9.7,
2014-04,11.1,
2014-07,0.6,
