"",BBK01.OEYB23M,BBK01.OEYB23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:25,
2002-01,1.328,
2002-04,1.479,
2002-07,1.556,
2002-10,1.568,
2003-01,1.598,
2003-04,2.177,
2003-07,2.429,
2003-10,2.436,
2004-01,2.567,
2004-04,2.357,
2004-07,2.293,
2004-10,2.146,
2005-01,2.232,
2005-04,2.354,
2005-07,2.058,
2005-10,1.689,
2006-01,1.800,
2006-04,1.959,
2006-07,1.695,
2006-10,1.614,
2007-01,1.652,
2007-04,1.639,
2007-07,1.517,
2007-10,1.559,
2008-01,1.528,
2008-04,1.686,
2008-07,1.922,
2008-10,2.017,
2009-01,2.065,
2009-04,2.017,
2009-07,2.235,
2009-10,2.221,
2010-01,2.025,
2010-04,2.280,
2010-07,2.038,
2010-10,1.934,
2011-01,1.733,
2011-04,1.563,
2011-07,1.976,
2011-10,2.467,
2012-01,2.744,
2012-04,2.705,
2012-07,2.681,
2012-10,2.726,
2013-01,2.539,
2013-04,2.563,
2013-07,2.473,
2013-10,2.249,
2014-01,2.132,
2014-04,1.738,
2014-07,1.578,
