"",BBDE1.M.DE.Y.BAA1.N2C100000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C100000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 10 Manufacture of food products / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:47,
1991-01,72.1,
1991-02,71.2,
1991-03,70.1,
1991-04,71.4,
1991-05,72.2,
1991-06,70.5,
1991-07,69.4,
1991-08,70.9,
1991-09,68.6,
1991-10,69.9,
1991-11,70.5,
1991-12,70.6,
1992-01,72.7,
1992-02,68.8,
1992-03,68.1,
1992-04,71.4,
1992-05,68.5,
1992-06,68.2,
1992-07,69.4,
1992-08,69.3,
1992-09,72.3,
1992-10,71.4,
1992-11,69.9,
1992-12,71.3,
1993-01,69.5,
1993-02,68.8,
1993-03,70.4,
1993-04,69.3,
1993-05,67.9,
1993-06,69.9,
1993-07,71.6,
1993-08,71.1,
1993-09,75.5,
1993-10,71.7,
1993-11,71.9,
1993-12,73.2,
1994-01,71.8,
1994-02,72.7,
1994-03,73.2,
1994-04,70.9,
1994-05,71.4,
1994-06,73.9,
1994-07,74.0,
1994-08,73.7,
1994-09,72.9,
1994-10,74.1,
1994-11,74.7,
1994-12,72.3,
1995-01,74.9,
1995-02,78.7,
1995-03,78.2,
1995-04,77.2,
1995-05,78.3,
1995-06,77.6,
1995-07,76.7,
1995-08,77.5,
1995-09,78.2,
1995-10,77.7,
1995-11,77.8,
1995-12,76.3,
1996-01,79.0,
1996-02,79.3,
1996-03,79.5,
1996-04,78.9,
1996-05,78.8,
1996-06,78.7,
1996-07,79.1,
1996-08,80.2,
1996-09,81.8,
1996-10,79.1,
1996-11,79.4,
1996-12,79.1,
1997-01,83.2,
1997-02,82.4,
1997-03,81.4,
1997-04,80.1,
1997-05,82.6,
1997-06,79.9,
1997-07,80.1,
1997-08,80.1,
1997-09,80.5,
1997-10,81.8,
1997-11,80.2,
1997-12,82.0,
1998-01,82.5,
1998-02,80.3,
1998-03,79.7,
1998-04,82.1,
1998-05,80.4,
1998-06,81.0,
1998-07,80.6,
1998-08,79.7,
1998-09,79.3,
1998-10,79.8,
1998-11,79.6,
1998-12,80.4,
1999-01,82.0,
1999-02,80.9,
1999-03,82.4,
1999-04,80.5,
1999-05,81.9,
1999-06,82.4,
1999-07,83.5,
1999-08,83.0,
1999-09,83.2,
1999-10,83.1,
1999-11,84.1,
1999-12,85.3,
2000-01,81.9,
2000-02,83.8,
2000-03,85.2,
2000-04,87.0,
2000-05,84.0,
2000-06,85.7,
2000-07,86.1,
2000-08,85.9,
2000-09,85.9,
2000-10,85.8,
2000-11,85.9,
2000-12,84.3,
2001-01,82.8,
2001-02,84.9,
2001-03,86.0,
2001-04,84.0,
2001-05,85.1,
2001-06,85.4,
2001-07,83.5,
2001-08,86.0,
2001-09,84.1,
2001-10,84.3,
2001-11,84.5,
2001-12,85.4,
2002-01,84.5,
2002-02,84.6,
2002-03,85.5,
2002-04,84.2,
2002-05,85.6,
2002-06,83.6,
2002-07,86.5,
2002-08,87.0,
2002-09,86.8,
2002-10,87.0,
2002-11,86.9,
2002-12,86.1,
2003-01,86.2,
2003-02,85.2,
2003-03,86.2,
2003-04,88.4,
2003-05,85.7,
2003-06,86.9,
2003-07,88.0,
2003-08,85.7,
2003-09,85.3,
2003-10,87.3,
2003-11,84.9,
2003-12,86.7,
2004-01,88.9,
2004-02,88.8,
2004-03,88.5,
2004-04,89.7,
2004-05,87.3,
2004-06,88.6,
2004-07,91.0,
2004-08,87.7,
2004-09,88.9,
2004-10,88.6,
2004-11,88.8,
2004-12,89.9,
2005-01,89.1,
2005-02,91.3,
2005-03,91.5,
2005-04,91.7,
2005-05,93.3,
2005-06,93.2,
2005-07,93.4,
2005-08,94.6,
2005-09,95.4,
2005-10,96.9,
2005-11,97.1,
2005-12,94.7,
2006-01,92.5,
2006-02,94.7,
2006-03,94.8,
2006-04,95.8,
2006-05,97.2,
2006-06,97.4,
2006-07,94.2,
2006-08,96.3,
2006-09,95.6,
2006-10,95.4,
2006-11,97.3,
2006-12,96.4,
2007-01,96.0,
2007-02,98.2,
2007-03,99.7,
2007-04,97.5,
2007-05,99.4,
2007-06,97.9,
2007-07,98.5,
2007-08,100.1,
2007-09,101.0,
2007-10,99.8,
2007-11,98.6,
2007-12,98.9,
2008-01,100.9,
2008-02,100.5,
2008-03,99.0,
2008-04,97.8,
2008-05,98.5,
2008-06,95.6,
2008-07,99.1,
2008-08,98.5,
2008-09,98.0,
2008-10,98.1,
2008-11,96.8,
2008-12,99.5,
2009-01,99.4,
2009-02,98.3,
2009-03,96.9,
2009-04,98.8,
2009-05,96.9,
2009-06,97.7,
2009-07,98.0,
2009-08,97.7,
2009-09,99.7,
2009-10,97.0,
2009-11,96.5,
2009-12,100.2,
2010-01,102.5,
2010-02,99.6,
2010-03,100.3,
2010-04,98.7,
2010-05,99.2,
2010-06,100.1,
2010-07,98.4,
2010-08,99.1,
2010-09,101.3,
2010-10,98.8,
2010-11,100.9,
2010-12,96.9,
2011-01,97.9,
2011-02,99.4,
2011-03,100.1,
2011-04,101.9,
2011-05,97.6,
2011-06,101.1,
2011-07,101.3,
2011-08,100.8,
2011-09,102.9,
2011-10,99.5,
2011-11,100.9,
2011-12,99.4,
2012-01,99.0,
2012-02,100.4,
2012-03,102.6,
2012-04,97.8,
