"",BBK01.OXA9X1,BBK01.OXA9X1_FLAGS
"",Revolving loans and overdrafts to employees and other individuals - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:05,
2010-06,20.530,
2010-07,21.088,
2010-08,21.510,
2010-09,22.018,
2010-10,21.638,
2010-11,21.085,
2010-12,20.693,
2011-01,20.662,
2011-02,19.812,
2011-03,20.079,
2011-04,19.342,
2011-05,19.737,
2011-06,20.255,
2011-07,19.455,
2011-08,20.044,
2011-09,20.522,
2011-10,20.536,
2011-11,19.132,
2011-12,19.741,
2012-01,19.938,
2012-02,19.524,
2012-03,19.734,
2012-04,19.932,
2012-05,19.665,
2012-06,19.506,
2012-07,19.269,
2012-08,19.384,
2012-09,19.438,
2012-10,19.541,
2012-11,17.984,
2012-12,18.947,
2013-01,18.685,
2013-02,18.230,
2013-03,18.214,
2013-04,18.272,
2013-05,18.018,
2013-06,17.923,
2013-07,18.212,
2013-08,17.811,
2013-09,18.594,
2013-10,18.319,
2013-11,16.557,
2013-12,17.980,
2014-01,17.677,
2014-02,17.096,
2014-03,18.241,
2014-04,17.571,
2014-05,17.213,
2014-06,17.766,
2014-07,17.327,
2014-08,16.632,
2014-09,17.717,
2014-10,17.394,
2014-11,15.644,
2014-12,16.790,Provisional value
