"",BBK01.CEBOQ2,BBK01.CEBOQ2_FLAGS
"",Other deposits (consolidated) debtor: All sectors                    creditor:  Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:15,
1991-01,361.0,
1991-04,349.1,
1991-07,341.2,
1991-10,358.7,
1992-01,360.1,
1992-04,342.4,
1992-07,335.5,
1992-10,362.6,
1993-01,375.9,
1993-04,389.9,
1993-07,400.8,
1993-10,446.3,
1994-01,431.6,
1994-04,419.3,
1994-07,428.9,
1994-10,456.6,
1995-01,456.3,
1995-04,481.8,
1995-07,496.6,
1995-10,505.6,
1996-01,519.1,
1996-04,530.6,
1996-07,528.5,
1996-10,555.2,
1997-01,573.7,
1997-04,579.2,
1997-07,583.5,
1997-10,613.3,
1998-01,622.2,
1998-04,629.1,
1998-07,620.3,
1998-10,658.6,
1999-01,650.7,
1999-04,650.2,
1999-07,679.1,
1999-10,705.3,
2000-01,717.3,
2000-04,717.6,
2000-07,755.0,
2000-10,764.8,
2001-01,785.7,
2001-04,777.5,
2001-07,810.9,
2001-10,844.8,
2002-01,858.4,
2002-04,860.9,
2002-07,913.0,
2002-10,931.2,
2003-01,976.5,
2003-04,1014.9,
2003-07,999.8,
2003-10,1022.3,
2004-01,1046.0,
2004-04,1074.7,
2004-07,1079.3,
2004-10,1171.9,
2005-01,1197.2,
2005-04,1223.6,
2005-07,1268.0,
2005-10,1278.1,
2006-01,1340.2,
2006-04,1382.7,
2006-07,1402.7,
2006-10,1421.6,
2007-01,1456.1,
2007-04,1508.1,
2007-07,1562.4,
2007-10,1630.3,
2008-01,1643.2,
2008-04,1640.4,
2008-07,1729.4,
2008-10,1709.0,
2009-01,1682.5,
2009-04,1677.0,
2009-07,1604.3,
2009-10,1647.7,
2010-01,1605.3,
2010-04,1650.5,
2010-07,1601.8,
2010-10,1551.0,
2011-01,1492.3,
2011-04,1529.0,
2011-07,1594.8,
2011-10,1562.5,
2012-01,1512.2,
2012-04,1505.4,
2012-07,1489.2,
2012-10,1420.4,
2013-01,1437.6,
2013-04,1453.9,
2013-07,1293.1,
2013-10,1287.6,
2014-01,1341.1,
