"",BBNZ1.Q.DE.N.H.0063.A,BBNZ1.Q.DE.N.H.0063.A_FLAGS
"",Germany / National accounts / Origin of GDP / Financial and insurance activities / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:26,
1991-01,121.71,
1991-04,120.90,
1991-07,119.92,
1991-10,123.38,
1992-01,124.50,
1992-04,123.41,
1992-07,125.39,
1992-10,126.18,
1993-01,129.43,
1993-04,132.42,
1993-07,132.02,
1993-10,134.03,
1994-01,132.99,
1994-04,132.55,
1994-07,131.53,
1994-10,129.92,
1995-01,127.39,
1995-04,127.35,
1995-07,127.16,
1995-10,129.66,
1996-01,130.30,
1996-04,129.76,
1996-07,128.74,
1996-10,131.16,
1997-01,131.14,
1997-04,131.59,
1997-07,130.69,
1997-10,132.61,
1998-01,132.44,
1998-04,131.56,
1998-07,133.31,
1998-10,138.56,
1999-01,143.58,
1999-04,147.60,
1999-07,147.52,
1999-10,142.59,
2000-01,139.11,
2000-04,132.55,
2000-07,130.14,
2000-10,133.77,
2001-01,141.13,
2001-04,145.83,
2001-07,144.65,
2001-10,139.34,
2002-01,139.08,
2002-04,138.69,
2002-07,132.47,
2002-10,125.76,
2003-01,119.26,
2003-04,112.83,
2003-07,108.28,
2003-10,107.36,
2004-01,105.76,
2004-04,103.17,
2004-07,101.25,
2004-10,102.37,
2005-01,103.01,
2005-04,102.57,
2005-07,101.03,
2005-10,99.93,
2006-01,97.38,
2006-04,100.44,
2006-07,111.22,
2006-10,100.22,
2007-01,104.43,
2007-04,105.81,
2007-07,105.04,
2007-10,104.11,
2008-01,104.42,
2008-04,105.60,
2008-07,104.20,
2008-10,102.55,
2009-01,100.39,
2009-04,97.68,
2009-07,95.58,
2009-10,96.49,
2010-01,98.34,
2010-04,101.27,
2010-07,100.31,
2010-10,100.07,
2011-01,100.47,
2011-04,101.41,
2011-07,101.17,
2011-10,100.00,
2012-01,100.98,
2012-04,103.71,
2012-07,104.22,
2012-10,102.29,
2013-01,102.28,
2013-04,100.85,
2013-07,101.71,
2013-10,100.24,
2014-01,102.41,
2014-04,100.43,
2014-07,100.31,
2014-10,99.66,
