"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.JP.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.JP.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Japan / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:33,
2009-09,203,
2009-10,185,
2009-11,192,
2009-12,165,
2010-01,184,
2010-02,195,
2010-03,192,
2010-04,176,
2010-05,198,
2010-06,208,
2010-07,205,
2010-08,205,
2010-09,177,
2010-10,182,
2010-11,181,
2010-12,184,
2011-01,177,
2011-02,175,
2011-03,152,
2011-04,155,
2011-05,161,
2011-06,161,
2011-07,169,
2011-08,184,
2011-09,187,
2011-10,194,
2011-11,248,
2011-12,259,
2012-01,270,
2012-02,243,
2012-03,212,
2012-04,237,
2012-05,262,
2012-06,254,
2012-07,271,
2012-08,272,
2012-09,254,
2012-10,249,
2012-11,237,
2012-12,222,
2013-01,133,
2013-02,134,
2013-03,136,
2013-04,120,
2013-05,101,
2013-06,121,
2013-07,121,
2013-08,120,
2013-09,120,
2013-10,91,
2013-11,80,
2013-12,77,
2014-01,81,
2014-02,73,
2014-03,72,
2014-04,72,
2014-05,70,
2014-06,70,
2014-07,75,
2014-08,73,
2014-09,72,
2014-10,72,
2014-11,73,
