"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:01,
1991-01,3291.196,
1991-04,4689.777,
1991-07,3341.852,
1991-10,2073.116,
1992-01,611.927,
1992-04,1177.671,
1992-07,2155.328,
1992-10,3257.819,
1993-01,2493.583,
1993-04,4036.122,
1993-07,3173.994,
1993-10,7396.402,
1994-01,2698.876,
1994-04,4273.992,
1994-07,3102.563,
1994-10,3351.144,
1995-01,504.823,
1995-04,3863.704,
1995-07,4152.796,
1995-10,5262.380,
1996-01,4348.993,
1996-04,549.026,
1996-07,-1705.299,
1996-10,6674.224,
1997-01,2774.755,
1997-04,5024.207,
1997-07,8416.007,
1997-10,13367.796,
1998-01,9489.027,
1998-04,6985.128,
1998-07,9559.037,
1998-10,6940.442,
1999-01,9295.048,
1999-04,15881.927,
1999-07,9516.093,
1999-10,10464.275,
2000-01,7565.840,
2000-04,6671.534,
2000-07,12916.070,
2000-10,14110.623,
2001-01,7654.717,
2001-04,12853.720,
2001-07,11881.988,
2001-10,17554.757,
2002-01,12015.703,
2002-04,8154.871,
2002-07,4285.576,
2002-10,10781.959,
2003-01,11862.964,
2003-04,8320.012,
2003-07,8571.794,
2003-10,5496.909,
2004-01,-3810.423,
2004-04,-5286.359,
2004-07,1159.345,
2004-10,1727.705,
2005-01,8607.560,
2005-04,23653.766,
2005-07,17031.440,
2005-10,16456.989,
2006-01,13657.595,
2006-04,17005.475,
2006-07,8669.806,
2006-10,25600.763,
2007-01,13936.172,
2007-04,24445.767,
2007-07,34530.066,
2007-10,23689.968,
2008-01,25587.423,
2008-04,49070.313,
2008-07,52599.969,
2008-10,19925.781,
2009-01,2158.390,
2009-04,17929.208,
2009-07,-14172.873,
2009-10,-21421.603,
2010-01,-9187.066,
2010-04,1451.344,
2010-07,-30265.189,
2010-10,2623.141,
2011-01,-7027.790,
2011-04,-3016.096,
2011-07,9601.270,
2011-10,18997.442,
2012-01,-5599.585,
2012-04,2363.856,
2012-07,-8109.766,
2012-10,2499.723,
2013-01,-6355.109,
2013-04,-2012.499,
2013-07,-10658.600,
2013-10,-8543.826,
2014-01,-717.004,Provisional value
2014-04,-7264.321,Provisional value
2014-07,3251.475,Provisional value
2014-10,-2472.888,Provisional value
