"",BBSF2.M.1.S.I0002.REN01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.REN01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:38,
2004-01,-,Nothing exists
2004-02,9,
2004-03,14,
2004-04,33,
2004-05,34,
2004-06,33,
2004-07,34,
2004-08,34,
2004-09,34,
2004-10,34,
2004-11,34,
2004-12,34,
2005-01,37,
2005-02,37,
2005-03,36,
2005-04,37,
2005-05,40,
2005-06,40,
2005-07,41,
2005-08,49,
2005-09,54,
2005-10,111,
2005-11,110,
2005-12,106,
2006-01,112,
2006-02,112,
2006-03,110,
2006-04,111,
2006-05,108,
2006-06,107,
2006-07,104,
2006-08,103,
2006-09,103,
2006-10,104,
2006-11,105,
2006-12,106,
2007-01,103,
2007-02,101,
2007-03,98,
2007-04,98,
2007-05,98,
2007-06,98,
2007-07,98,
2007-08,98,
2007-09,96,
2007-10,96,
2007-11,93,
2007-12,91,
2008-01,93,
2008-02,91,
2008-03,91,
2008-04,90,
2008-05,89,
2008-06,89,
2008-07,89,
2008-08,89,
2008-09,88,
2008-10,87,
2008-11,89,
2008-12,89,
2009-01,88,
2009-02,88,
2009-03,93,
2009-04,93,
2009-05,87,
2009-06,87,
2009-07,86,
2009-08,87,
2009-09,81,
2009-10,85,
2009-11,86,
2009-12,89,
2010-01,91,
2010-02,91,
2010-03,93,
2010-04,94,
2010-05,94,
2010-06,93,
2010-07,94,
2010-08,94,
2010-09,94,
2010-10,92,
2010-11,92,
2010-12,92,
2011-01,92,
2011-02,93,
2011-03,93,
2011-04,95,
2011-05,95,
2011-06,95,
2011-07,95,
2011-08,94,
2011-09,95,
2011-10,97,
2011-11,97,
2011-12,96,
2012-01,97,
2012-02,97,
2012-03,98,
2012-04,99,
2012-05,101,
2012-06,101,
2012-07,100,
2012-08,101,
2012-09,103,
2012-10,106,
2012-11,107,
2012-12,107,
2013-01,108,
2013-02,108,
2013-03,108,
2013-04,108,
2013-05,103,
2013-06,104,
2013-07,106,
2013-08,105,
2013-09,105,
2013-10,103,
2013-11,103,
2013-12,105,
2014-01,105,
2014-02,104,
2014-03,105,
2014-04,105,
2014-05,106,
2014-06,105,
2014-07,104,
2014-08,104,
2014-09,104,
2014-10,104,
2014-11,105,
