"",BBSF2.M.1.S.00000.DAC01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.DAC01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Funds-of-funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:33,
2009-09,482,
2009-10,255,
2009-11,257,
2009-12,291,
2010-01,258,
2010-02,400,
2010-03,385,
2010-04,497,
2010-05,375,
2010-06,318,
2010-07,292,
2010-08,409,
2010-09,474,
2010-10,466,
2010-11,300,
2010-12,416,
2011-01,686,
2011-02,217,
2011-03,434,
2011-04,329,
2011-05,273,
2011-06,311,
2011-07,258,
2011-08,277,
2011-09,313,
2011-10,261,
2011-11,319,
2011-12,437,
2012-01,315,
2012-02,556,
2012-03,665,
2012-04,381,
2012-05,224,
2012-06,268,
2012-07,363,
2012-08,587,
2012-09,669,
2012-10,679,
2012-11,936,
2012-12,648,
2013-01,701,
2013-02,728,
2013-03,671,
2013-04,498,
2013-05,444,
2013-06,566,
2013-07,503,
2013-08,461,
2013-09,679,
2013-10,485,
2013-11,552,
2013-12,920,
2014-01,968,
2014-02,716,
2014-03,665,
2014-04,649,
2014-05,526,
2014-06,633,
2014-07,722,
2014-08,757,
2014-09,739,
2014-10,681,
2014-11,569,
