"",BBK01.OEAB22H,BBK01.OEAB22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:39,
2002-01,2.043,
2002-04,2.319,
2002-07,2.014,
2002-10,3.698,
2003-01,2.598,
2003-04,3.018,
2003-07,3.236,
2003-10,5.797,
2004-01,3.751,
2004-04,1.363,
2004-07,3.214,
2004-10,1.684,
2005-01,1.583,
2005-04,2.330,
2005-07,1.894,
2005-10,2.011,
2006-01,1.320,
2006-04,1.377,
2006-07,1.033,
2006-10,1.412,
2007-01,2.386,
2007-04,2.425,
2007-07,1.954,
2007-10,1.408,
2008-01,1.355,
2008-04,1.628,
2008-07,2.982,
2008-10,1.499,
2009-01,2.479,
2009-04,2.725,
2009-07,2.713,
2009-10,3.343,
2010-01,3.472,
2010-04,3.796,
2010-07,4.557,
2010-10,67.744,
2011-01,44.011,
2011-04,29.078,
2011-07,18.930,
2011-10,14.362,
2012-01,12.035,
2012-04,11.166,
2012-07,11.305,
2012-10,10.105,
2013-01,8.856,
2013-04,7.379,
2013-07,7.695,
2013-10,7.224,
2014-01,5.668,
2014-04,4.858,
2014-07,5.672,
