"",BBK01.OEAD16K,BBK01.OEAD16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:37,
2002-01,0.473,
2002-04,0.484,
2002-07,0.468,
2002-10,0.412,
2003-01,0.343,
2003-04,0.348,
2003-07,0.263,
2003-10,0.263,
2004-01,0.268,
2004-04,0.288,
2004-07,0.308,
2004-10,0.278,
2005-01,0.343,
2005-04,0.292,
2005-07,0.264,
2005-10,0.244,
2006-01,0.233,
2006-04,0.277,
2006-07,0.295,
2006-10,0.267,
2007-01,0.281,
2007-04,0.318,
2007-07,0.343,
2007-10,0.325,
2008-01,0.384,
2008-04,0.392,
2008-07,0.478,
2008-10,0.458,
2009-01,0.382,
2009-04,0.473,
2009-07,0.357,
2009-10,0.327,
2010-01,0.237,
2010-04,0.239,
2010-07,0.251,
2010-10,0.249,
2011-01,0.262,
2011-04,0.301,
2011-07,0.293,
2011-10,0.233,
2012-01,0.265,
2012-04,0.226,
2012-07,0.243,
2012-10,0.202,
2013-01,0.244,
2013-04,0.255,
2013-07,0.249,
2013-10,0.211,
2014-01,0.260,
2014-04,0.306,
2014-07,0.329,
