"",BBK01.OEHL08G,BBK01.OEHL08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:14,
2002-01,28.031,
2002-04,28.005,
2002-07,28.017,
2002-10,28.865,
2003-01,29.205,
2003-04,29.646,
2003-07,29.997,
2003-10,30.428,
2004-01,30.897,
2004-04,31.263,
2004-07,31.267,
2004-10,31.513,
2005-01,31.942,
2005-04,31.748,
2005-07,31.821,
2005-10,31.952,
2006-01,31.721,
2006-04,31.150,
2006-07,30.383,
2006-10,28.888,
2007-01,27.754,
2007-04,26.990,
2007-07,26.440,
2007-10,25.892,
2008-01,25.596,
2008-04,25.154,
2008-07,24.348,
2008-10,23.870,
2009-01,24.836,
2009-04,26.436,
2009-07,27.744,
2009-10,28.493,
2010-01,29.191,
2010-04,30.032,
2010-07,30.716,
2010-10,31.069,
2011-01,31.692,
2011-04,32.366,
2011-07,32.159,
2011-10,32.221,
2012-01,32.164,
2012-04,32.098,
2012-07,32.157,
2012-10,32.190,
2013-01,32.268,
2013-04,32.266,
2013-07,32.392,
2013-10,32.641,
2014-01,32.877,
2014-04,33.752,
2014-07,33.741,
