"",BBK01.CEL20N,BBK01.CEL20N_FLAGS
"",Currency and deposits                                              debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:55,
1999-01,52.5,
1999-04,13.8,
1999-07,16.2,
1999-10,17.7,
2000-01,83.5,
2000-04,2.8,
2000-07,4.3,
2000-10,21.0,
2001-01,131.3,
2001-04,-25.1,
2001-07,-7.5,
2001-10,-51.0,
2002-01,2.7,
2002-04,9.3,
2002-07,35.0,
2002-10,-13.0,
2003-01,43.6,
2003-04,4.5,
2003-07,-3.4,
2003-10,-14.9,
2004-01,56.6,
2004-04,-48.4,
2004-07,31.0,
2004-10,5.3,
2005-01,67.9,
2005-04,-9.7,
2005-07,9.8,
2005-10,-23.9,
2006-01,61.4,
2006-04,5.4,
2006-07,17.5,
2006-10,-5.6,
2007-01,43.0,
2007-04,38.1,
2007-07,63.4,
2007-10,-29.7,
2008-01,113.5,
2008-04,-21.3,
2008-07,40.2,
2008-10,-153.5,
2009-01,-20.5,
2009-04,-3.2,
2009-07,-41.8,
2009-10,-33.8,
2010-01,57.9,
2010-04,79.9,
2010-07,5.7,
2010-10,-41.8,
2011-01,-37.8,
2011-04,-25.3,
2011-07,97.8,
2011-10,-74.6,
2012-01,224.6,
2012-04,25.0,
2012-07,7.0,
2012-10,-115.0,
2013-01,-34.7,
2013-04,-20.8,
2013-07,-60.6,
2013-10,-75.7,
2014-01,26.3,
2014-04,16.6,
2014-07,12.9,
