"",BBK01.BJ9067,BBK01.BJ9067_FLAGS
"",General government debt as defined in the Maastricht Treaty - Germany - local government,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:17,
1991,76714,
1992,84075,
1993,93267,
1994,101209,
1995,105508,
1996,107394,
1997,108024,
1998,108206,
1999,108849,
2000,107237,
2001,107901,
2002,109559,
2003,116577,
2004,121252,
2005,124810,
2006,127381,
2007,125528,
2008,125590,
2009,132043,
2010,137416,Provisional value
2011,141768,Provisional value
2012,145624,Provisional value
2013,148181,Provisional value
