"",BBFB1.Q.N.DE.S6.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:10,
1991-01,-51.829,
1991-04,-47.714,
1991-07,-2.626,
1991-10,-3.321,
1992-01,-10.499,
1992-04,-41.871,
1992-07,-32.384,
1992-10,-23.642,
1993-01,-183.998,
1993-04,-162.756,
1993-07,-156.241,
1993-10,-156.511,
1994-01,-82.187,
1994-04,-90.812,
1994-07,-80.409,
1994-10,-80.806,
1995-01,11.770,
1995-04,-0.197,
1995-07,9.924,
1995-10,12.100,
1996-01,-17.459,
1996-04,-12.115,
1996-07,-10.558,
1996-10,-35.846,
1997-01,-86.645,
1997-04,-84.119,
1997-07,-76.694,
1997-10,-78.742,
1998-01,-54.566,
1998-04,-51.441,
1998-07,-51.155,
1998-10,-52.303,
1999-01,-186.482,
1999-04,-114.002,
1999-07,-103.999,
1999-10,-100.728,
2000-01,-12.922,
2000-04,-25.075,
2000-07,-3.639,
2000-10,-16.362,
2001-01,-59.830,
2001-04,-114.594,
2001-07,-62.886,
2001-10,-88.830,
2002-01,-38.613,
2002-04,-34.598,
2002-07,-30.589,
2002-10,5.588,
2003-01,15.069,
2003-04,-92.475,
2003-07,32.528,
2003-10,60.769,
2004-01,180.885,
2004-04,123.071,
2004-07,175.136,
2004-10,202.783,
2005-01,61.216,
2005-04,38.315,
2005-07,37.523,
2005-10,30.736,
2006-01,74.506,
2006-04,96.094,
2006-07,-155.845,
2006-10,114.742,
2007-01,181.402,
2007-04,128.715,
2007-07,46.328,
2007-10,102.260,
2008-01,-346.719,
2008-04,61.167,
2008-07,154.126,
2008-10,38.354,
2009-01,-95.959,
2009-04,-52.496,
2009-07,-44.502,
2009-10,3.664,
2010-01,107.338,
2010-04,68.688,
2010-07,104.923,
2010-10,160.267,
2011-01,135.051,
2011-04,46.377,
2011-07,120.624,
2011-10,173.906,
2012-01,158.680,
2012-04,178.925,
2012-07,140.305,
2012-10,191.616,
2013-01,150.204,
2013-04,86.077,
2013-07,52.511,
2013-10,134.867,
2014-01,153.749,Provisional value
2014-04,104.641,Provisional value
2014-07,104.026,Provisional value
2014-10,144.141,Provisional value
