"",BBK01.OECB22O,BBK01.OECB22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:06,
2002-01,0.099,
2002-04,0.080,
2002-07,0.062,
2002-10,0.089,
2003-01,0.065,
2003-04,0.046,
2003-07,0.047,
2003-10,0.055,
2004-01,0.060,
2004-04,0.065,
2004-07,0.042,
2004-10,0.054,
2005-01,0.050,
2005-04,0.061,
2005-07,0.047,
2005-10,0.049,
2006-01,0.034,
2006-04,0.034,
2006-07,0.188,
2006-10,0.190,
2007-01,0.182,
2007-04,0.142,
2007-07,0.028,
2007-10,0.028,
2008-01,0.027,
2008-04,0.027,
2008-07,0.043,
2008-10,0.040,
2009-01,0.035,
2009-04,0.036,
2009-07,0.019,
2009-10,-,Nothing exists
2010-01,0.016,
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,-,Nothing exists
2011-01,0.107,
2011-04,0.196,
2011-07,0.107,
2011-10,0.107,
2012-01,0.027,
2012-04,0.011,
2012-07,0.070,
2012-10,0.002,
2013-01,0.092,
2013-04,0.098,
2013-07,0.070,
2013-10,0.015,
2014-01,0.015,
2014-04,0.050,
2014-07,0.050,
