"",BBDP1.M.DE.N.VPI.C.GOODS0MFXE.I10.A,BBDP1.M.DE.N.VPI.C.GOODS0MFXE.I10.A_FLAGS
"",Consumer price index / Germany / Unadjusted figure / Industrial goods (other durable and non-durable consumer goods) excluding energy,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:50:04,
1995-01,90.6,
1995-02,90.8,
1995-03,90.7,
1995-04,90.8,
1995-05,90.9,
1995-06,90.9,
1995-07,90.8,
1995-08,90.7,
1995-09,90.9,
1995-10,91.0,
1995-11,91.1,
1995-12,91.2,
1996-01,91.1,
1996-02,91.2,
1996-03,91.3,
1996-04,91.4,
1996-05,91.3,
1996-06,91.2,
1996-07,91.3,
1996-08,91.2,
1996-09,91.4,
1996-10,91.3,
1996-11,91.5,
1996-12,91.6,
1997-01,91.7,
1997-02,91.9,
1997-03,91.8,
1997-04,91.9,
1997-05,91.9,
1997-06,91.8,
1997-07,92.4,
1997-08,92.5,
1997-09,92.6,
1997-10,92.6,
1997-11,92.7,
1997-12,92.7,
1998-01,92.4,
1998-02,92.5,
1998-03,92.5,
1998-04,92.8,
1998-05,93.1,
1998-06,93.1,
1998-07,93.2,
1998-08,93.0,
1998-09,93.2,
1998-10,93.2,
1998-11,93.3,
1998-12,93.2,
1999-01,93.1,
1999-02,92.9,
1999-03,93.0,
1999-04,93.1,
1999-05,92.9,
1999-06,93.0,
1999-07,93.0,
1999-08,93.2,
1999-09,93.3,
1999-10,93.3,
1999-11,93.5,
1999-12,93.4,
2000-01,93.5,
2000-02,93.3,
2000-03,93.3,
2000-04,93.1,
2000-05,92.9,
2000-06,92.9,
2000-07,92.8,
2000-08,92.6,
2000-09,92.9,
2000-10,92.7,
2000-11,93.0,
2000-12,92.9,
2001-01,92.9,
2001-02,93.0,
2001-03,93.0,
2001-04,93.0,
2001-05,93.2,
2001-06,93.1,
2001-07,93.0,
2001-08,92.9,
2001-09,93.2,
2001-10,93.3,
2001-11,93.6,
2001-12,93.7,
2002-01,94.1,
2002-02,94.2,
2002-03,94.4,
2002-04,94.1,
2002-05,94.2,
2002-06,94.0,
2002-07,93.7,
2002-08,93.6,
2002-09,93.8,
2002-10,93.8,
2002-11,93.8,
2002-12,93.8,
2003-01,94.2,
2003-02,94.3,
2003-03,94.4,
2003-04,94.2,
2003-05,94.1,
2003-06,94.0,
2003-07,93.9,
2003-08,93.7,
2003-09,94.1,
2003-10,94.2,
2003-11,94.2,
2003-12,94.1,
2004-01,94.9,
2004-02,94.7,
2004-03,95.8,
2004-04,96.0,
2004-05,95.8,
2004-06,95.8,
2004-07,95.5,
2004-08,95.5,
2004-09,95.5,
2004-10,95.7,
2004-11,95.6,
2004-12,96.3,
2005-01,95.9,
2005-02,96.0,
2005-03,96.1,
2005-04,96.0,
2005-05,95.8,
2005-06,95.7,
2005-07,95.2,
2005-08,95.2,
2005-09,96.0,
2005-10,96.0,
2005-11,96.4,
2005-12,96.1,
2006-01,95.8,
2006-02,95.8,
2006-03,96.1,
2006-04,96.2,
2006-05,96.2,
2006-06,95.8,
2006-07,95.4,
2006-08,95.3,
2006-09,95.9,
2006-10,96.5,
2006-11,96.7,
2006-12,96.7,
2007-01,96.9,
2007-02,97.1,
2007-03,97.4,
2007-04,97.4,
2007-05,97.2,
2007-06,97.2,
2007-07,96.8,
2007-08,96.8,
2007-09,97.5,
2007-10,97.8,
2007-11,98.0,
2007-12,97.8,
2008-01,97.5,
2008-02,97.9,
2008-03,98.0,
2008-04,98.1,
2008-05,97.9,
2008-06,97.8,
2008-07,97.3,
2008-08,97.7,
2008-09,98.4,
2008-10,98.7,
2008-11,98.7,
2008-12,98.6,
2009-01,98.4,
2009-02,98.9,
2009-03,99.3,
2009-04,99.4,
2009-05,99.2,
2009-06,99.5,
2009-07,98.9,
2009-08,99.4,
2009-09,99.9,
2009-10,100.2,
2009-11,99.8,
2009-12,100.1,
2010-01,99.6,
2010-02,99.9,
2010-03,100.1,
2010-04,100.3,
2010-05,100.1,
2010-06,99.7,
2010-07,99.1,
2010-08,99.4,
2010-09,100.1,
2010-10,100.5,
2010-11,100.4,
2010-12,100.4,
2011-01,99.7,
2011-02,100.0,
2011-03,100.7,
2011-04,100.9,
2011-05,100.8,
2011-06,100.5,
2011-07,100.0,
2011-08,100.5,
2011-09,101.5,
2011-10,101.6,
2011-11,101.7,
2011-12,101.3,
2012-01,100.8,
2012-02,101.2,
2012-03,102.1,
2012-04,102.1,
2012-05,102.3,
2012-06,101.9,
2012-07,101.2,
2012-08,101.6,
2012-09,102.5,
2012-10,103.0,
2012-11,102.8,
2012-12,102.7,
2013-01,101.7,
2013-02,102.2,
2013-03,103.2,
2013-04,103.3,
2013-05,103.2,
2013-06,102.9,
2013-07,102.4,
2013-08,102.4,
2013-09,103.4,
2013-10,103.9,
2013-11,103.9,
2013-12,103.3,
2014-01,102.8,
2014-02,103.2,
2014-03,104.2,
2014-04,104.2,
2014-05,103.9,
2014-06,103.5,
2014-07,103.2,
2014-08,103.5,
2014-09,104.5,
2014-10,104.5,
2014-11,104.7,
2014-12,104.4,
2015-01,103.6,
2015-02,104.0,Estimated value
