"",BBK01.OEHI01P,BBK01.OEHI01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:28,
2002-01,9.114,
2002-04,9.125,
2002-07,9.075,
2002-10,9.115,
2003-01,9.101,
2003-04,9.196,
2003-07,9.219,
2003-10,9.540,
2004-01,9.571,
2004-04,9.577,
2004-07,9.526,
2004-10,9.699,
2005-01,9.696,
2005-04,9.747,
2005-07,9.673,
2005-10,9.829,
2006-01,9.650,
2006-04,9.546,
2006-07,9.711,
2006-10,9.881,
2007-01,9.760,
2007-04,9.737,
2007-07,9.932,
2007-10,10.006,
2008-01,9.979,
2008-04,9.900,
2008-07,9.940,
2008-10,10.060,
2009-01,9.923,
2009-04,10.099,
2009-07,9.958,
2009-10,10.402,
2010-01,10.245,
2010-04,10.254,
2010-07,10.151,
2010-10,10.689,
2011-01,10.277,
2011-04,10.195,
2011-07,10.229,
2011-10,10.664,
2012-01,10.294,
2012-04,10.358,
2012-07,10.571,
2012-10,11.064,
2013-01,11.385,
2013-04,11.006,
2013-07,11.042,
2013-10,11.358,
2014-01,11.001,
2014-04,11.171,
2014-07,11.245,
