"",BBK01.OEAF03G,BBK01.OEAF03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:42,
2002-01,142.696,
2002-04,144.242,
2002-07,145.274,
2002-10,146.589,
2003-01,144.185,
2003-04,143.928,
2003-07,145.270,
2003-10,147.790,
2004-01,147.910,
2004-04,148.726,
2004-07,149.809,
2004-10,150.574,
2005-01,151.675,
2005-04,152.249,
2005-07,152.831,
2005-10,153.433,
2006-01,151.934,
2006-04,152.048,
2006-07,152.711,
2006-10,153.034,
2007-01,152.254,
2007-04,152.292,
2007-07,152.486,
2007-10,152.754,
2008-01,152.219,
2008-04,152.696,
2008-07,153.445,
2008-10,153.580,
2009-01,153.047,
2009-04,155.424,
2009-07,156.866,
2009-10,155.332,
2010-01,158.141,
2010-04,158.344,
2010-07,159.750,
2010-10,160.091,
2011-01,161.825,
2011-04,162.965,
2011-07,164.409,
2011-10,165.450,
2012-01,165.776,
2012-04,167.135,
2012-07,168.547,
2012-10,170.272,
2013-01,170.745,
2013-04,171.836,
2013-07,173.846,
2013-10,174.839,
2014-01,175.889,
2014-04,177.242,
2014-07,179.112,
