"",BBEX3.M.VND.EUR.CA.AA.A01,BBEX3.M.VND.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Viet Nam / EUR 1 = VND ... (buying),
unit,VND (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:05,
1999-01,15804.00,
1999-02,15277.00,
1999-03,14893.00,
1999-04,14723.00,
1999-05,14453.00,
1999-06,14330.00,
1999-07,14876.00,
1999-08,14585.00,
1999-09,14814.00,
1999-10,14669.00,
1999-11,14083.00,
1999-12,14037.00,
2000-01,13689.00,
2000-02,13540.00,
2000-03,13438.00,
2000-04,12774.00,
2000-05,12991.00,
2000-06,13313.00,
2000-07,12933.00,
2000-08,12568.00,
2000-09,12454.00,
2000-10,12039.00,
2000-11,12364.00,
2000-12,13413.00,
2001-01,13405.00,
2001-02,13304.00,
2001-03,12736.00,
2001-04,13079.53,
2001-05,12422.27,
2001-06,12469.49,
2001-07,12989.80,
2001-08,13662.85,
2001-09,13689.88,
2001-10,13563.76,
2001-11,13292.49,
2001-12,13258.58,
2002-01,12956.44,
2002-02,13042.89,
2002-03,13194.57,
2002-04,13648.30,
2002-05,14218.74,
2002-06,15016.78,
2002-07,14963.22,
2002-08,14983.64,
2002-09,14949.54,
2002-10,15007.78,
2002-11,15171.89,
2002-12,16012.04,
2003-01,16567.36,
2003-02,16470.08,
2003-03,16582.04,
2003-04,16870.11,
2003-05,18272.10,
2003-06,17598.85,
2003-07,17508.64,
2003-08,16793.78,
2003-09,17927.99,
2003-10,18072.95,
2003-11,18512.96,
2003-12,19508.58,
2004-01,19350.94,
2004-02,19475.94,
2004-03,19021.29,
2004-04,18459.79,
2004-05,19195.90,
2004-06,18882.55,
2004-07,18851.62,
2004-08,18887.92,
2004-09,19309.36,
2004-10,19963.30,
2004-11,20789.51,
2004-12,21346.80,
2005-01,20448.06,
2005-02,20829.05,
2005-03,20331.66,
2005-04,20318.06,
2005-05,19638.15,
2005-06,19039.50,
2005-07,19157.17,
2005-08,19290.38,
2005-09,19007.73,
2005-10,19041.38,
2005-11,18603.47,
2005-12,18735.45,
2006-01,19316.09,
2006-02,18727.58,
2006-03,19239.94,
2006-04,19847.10,
2006-05,20393.79,
2006-06,20134.20,
2006-07,20293.16,
2006-08,20426.19,
2006-09,20299.82,
2006-10,20311.19,
2006-11,20987.83,
2006-12,21095.19,
2007-01,20652.20,
2007-02,20950.00,
2007-03,21216.98,
2007-04,21689.16,
2007-05,21469.87,
2007-06,21541.70,
2007-07,22032.55,
2007-08,22057.45,
2007-09,22625.70,
2007-10,23072.21,
2007-11,23502.18,
2007-12,23450.78,
2008-01,23489.33,
2008-02,23791.73,
2008-03,25270.14,
2008-04,25082.66,
2008-05,26362.97,
2008-06,26497.21,
2008-07,25884.40,
2008-08,24187.90,
2008-09,23696.98,
2008-10,21404.72,
2008-11,21700.68,
2008-12,24337.73,
2009-01,22424.28,
2009-02,22236.74,
2009-03,23256.01,
2009-04,23662.29,
2009-05,24962.06,
2009-06,25682.22,
2009-07,25718.83,
2009-08,25969.34,
2009-09,26455.32,
2009-10,27375.79,
2009-11,28348.05,
2009-12,26409.24,
2010-01,25613.93,
2010-02,25751.10,
2010-03,25560.75,
2010-04,24851.36,
2010-05,23204.20,
2010-06,23219.12,
2010-07,24938.36,
2010-08,24510.24,
2010-09,26493.81,
2010-10,27997.46,
2010-11,27820.71,
2010-12,27318.96,
2011-01,27542.28,
2011-02,28975.59,
2011-03,29452.68,
2011-04,30344.60,
2011-05,29329.59,
2011-06,29557.25,
2011-07,29268.12,
2011-08,29892.41,
2011-09,28233.57,
2011-10,29427.49,
2011-11,28162.90,
2011-12,27282.29,
2012-01,27509.61,
2012-02,27901.27,
2012-03,27680.90,
2012-04,27387.96,
2012-05,25833.63,
2012-06,26050.28,
2012-07,25410.80,
2012-08,25912.34,
2012-09,26734.32,
2012-10,26821.05,
2012-11,26865.82,
2012-12,27404.42,
2013-01,28079.62,
2013-02,27282.37,
2013-03,26587.82,
2013-04,27050.18,
2013-05,27185.43,
2013-06,27488.08,
2013-07,27882.94,
2013-08,27806.16,
2013-09,28239.88,
2013-10,28799.60,
2013-11,28510.31,
2013-12,28945.39,
2014-01,28656.61,
2014-02,28796.63,
2014-03,28907.50,
2014-04,29090.11,
2014-05,28672.57,
2014-06,28948.41,
2014-07,28277.81,
2014-08,27789.91,
2014-09,26800.49,
2014-10,26554.25,
2014-11,26525.33,
2014-12,25894.39,
2015-01,24054.47,
"","Source: Vietcombank (Bank for Foreign Trade), Hanoi.",
