"",BBFN1.M.DE.N.1.L.AT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:10,
1975-12,0.073,
1976-01,0.069,
1976-02,0.071,
1976-03,0.074,
1976-04,0.075,
1976-05,0.074,
1976-06,0.077,
1976-07,0.074,
1976-08,0.073,
1976-09,0.321,
1976-10,0.074,
1976-11,0.077,
1976-12,0.072,
1977-01,0.073,
1977-02,0.072,
1977-03,0.072,
1977-04,0.069,
1977-05,0.079,
1977-06,0.069,
1977-07,0.071,
1977-08,0.073,
1977-09,0.075,
1977-10,0.088,
1977-11,0.084,
1977-12,0.085,
1978-01,0.081,
1978-02,0.099,
1978-03,0.094,
1978-04,0.088,
1978-05,0.088,
1978-06,0.101,
1978-07,0.099,
1978-08,0.117,
1978-09,0.116,
1978-10,0.128,
1978-11,0.143,
1978-12,0.122,
1979-01,0.143,
1979-02,0.136,
1979-03,0.142,
1979-04,0.115,
1979-05,0.140,
1979-06,0.172,
1979-07,0.191,
1979-08,0.177,
1979-09,0.192,
1979-10,0.201,
1979-11,0.184,
1979-12,0.184,
1980-01,0.209,
1980-02,0.235,
1980-03,0.279,
1980-04,0.327,
1980-05,0.373,
1980-06,0.363,
1980-07,0.373,
1980-08,0.376,
1980-09,0.410,
1980-10,0.400,
1980-11,0.389,
1980-12,0.270,
1981-01,0.401,
1981-02,0.357,
1981-03,0.337,
1981-04,0.375,
1981-05,0.378,
1981-06,0.412,
1981-07,0.411,
1981-08,0.410,
1981-09,0.490,
1981-10,0.473,
1981-11,0.471,
1981-12,0.392,
1982-01,0.449,
1982-02,0.533,
1982-03,0.496,
1982-04,0.516,
1982-05,0.573,
1982-06,0.567,
1982-07,0.594,
1982-08,0.567,
1982-09,0.576,
1982-10,0.589,
1982-11,0.655,
1982-12,0.512,
1983-01,0.564,
1983-02,0.638,
1983-03,0.645,
1983-04,0.614,
1983-05,0.616,
1983-06,0.586,
1983-07,0.629,
1983-08,0.658,
1983-09,0.644,
1983-10,0.638,
1983-11,0.657,
1983-12,0.660,
1984-01,0.660,
1984-02,0.691,
1984-03,0.705,
1984-04,0.681,
1984-05,0.671,
1984-06,0.712,
1984-07,0.672,
1984-08,0.725,
1984-09,0.727,
1984-10,0.730,
1984-11,0.772,
1984-12,0.741,
1985-01,0.694,
1985-02,0.648,
1985-03,0.666,
1985-04,0.674,
1985-05,0.680,
1985-06,0.642,
1985-07,0.625,
1985-08,0.654,
1985-09,0.636,
1985-10,0.654,
1985-11,0.667,
1985-12,0.584,
1986-01,0.603,
1986-02,0.587,
1986-03,0.569,
1986-04,0.580,
1986-05,0.535,
1986-06,0.553,
1986-07,0.554,
1986-08,0.561,
1986-09,0.511,
1986-10,0.515,
1986-11,0.491,
1986-12,0.457,
1987-01,0.436,
1987-02,0.429,
1987-03,0.415,
1987-04,0.431,
1987-05,0.423,
1987-06,0.426,
1987-07,0.432,
1987-08,0.470,
1987-09,0.424,
1987-10,0.450,
1987-11,0.427,
1987-12,0.423,
1988-01,0.478,
1988-02,0.513,
1988-03,0.529,
1988-04,0.526,
1988-05,0.505,
1988-06,0.572,
1988-07,0.526,
1988-08,0.554,
1988-09,0.523,
1988-10,0.479,
1988-11,0.445,
1988-12,0.392,
1989-01,0.396,
1989-02,0.367,
1989-03,0.354,
1989-04,0.332,
1989-05,0.323,
1989-06,0.331,
1989-07,0.368,
1989-08,0.421,
1989-09,0.620,
1989-10,0.605,
1989-11,0.536,
1989-12,0.409,
1990-01,0.421,
1990-02,0.364,
1990-03,0.395,
1990-04,0.444,
1990-05,0.509,
1990-06,0.492,
1990-07,0.667,
1990-08,0.663,
1990-09,0.783,
1990-10,0.835,
1990-11,0.865,
1990-12,0.918,
1991-01,1.035,
1991-02,1.106,
1991-03,1.135,
1991-04,1.186,
1991-05,1.224,
1991-06,1.244,
1991-07,1.290,
1991-08,1.309,
1991-09,1.305,
1991-10,1.390,
1991-11,1.351,
1991-12,1.168,
1992-01,1.255,
1992-02,1.187,
1992-03,1.195,
1992-04,1.227,
1992-05,1.239,
1992-06,1.205,
1992-07,1.252,
1992-08,1.280,
1992-09,1.101,
1992-10,1.133,
1992-11,1.171,
1992-12,1.077,
1993-01,1.350,
1993-02,1.528,
1993-03,1.579,
1993-04,1.456,
1993-05,1.461,
1993-06,1.411,
1993-07,1.388,
1993-08,1.412,
1993-09,1.448,
1993-10,1.622,
1993-11,1.432,
1993-12,1.481,
1994-01,1.567,
1994-02,1.595,
1994-03,1.692,
1994-04,1.576,
1994-05,1.340,
1994-06,1.166,
1994-07,1.154,
1994-08,1.094,
1994-09,1.095,
1994-10,1.157,
1994-11,1.171,
1994-12,1.459,
1995-01,1.457,
1995-02,1.419,
1995-03,1.550,
1995-04,1.509,
1995-05,1.516,
1995-06,1.576,
1995-07,1.588,
1995-08,1.520,
1995-09,1.584,
1995-10,1.411,
1995-11,1.458,
1995-12,1.517,
1996-01,1.523,
1996-02,1.689,
1996-03,1.661,
1996-04,1.679,
1996-05,1.683,
1996-06,1.587,
1996-07,1.497,
1996-08,1.828,
1996-09,1.873,
1996-10,1.884,
1996-11,1.705,
1996-12,1.754,
1997-01,1.566,
1997-02,1.752,
1997-03,1.869,
1997-04,1.869,
1997-05,1.904,
1997-06,2.024,
1997-07,2.045,
1997-08,1.995,
1997-09,2.093,
1997-10,2.157,
1997-11,2.044,
1997-12,2.419,
1998-01,2.181,
1998-02,2.291,
1998-03,2.249,
1998-04,2.096,
1998-05,2.268,
1998-06,2.194,
1998-07,2.224,
1998-08,2.183,
1998-09,2.283,
1998-10,2.465,
1998-11,2.275,
1998-12,2.328,
1999-01,2.204,
1999-02,2.185,
1999-03,2.304,
