"",BBK01.OEAC58U,BBK01.OEAC58U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:59,
2002-01,1.976,
2002-04,2.007,
2002-07,2.013,
2002-10,2.035,
2003-01,2.035,
2003-04,2.013,
2003-07,1.750,
2003-10,1.719,
2004-01,1.594,
2004-04,1.552,
2004-07,1.506,
2004-10,1.537,
2005-01,1.473,
2005-04,1.423,
2005-07,1.420,
2005-10,1.411,
2006-01,1.398,
2006-04,1.358,
2006-07,1.363,
2006-10,1.360,
2007-01,1.346,
2007-04,1.326,
2007-07,1.365,
2007-10,1.342,
2008-01,1.266,
2008-04,1.287,
2008-07,1.329,
2008-10,1.347,
2009-01,1.310,
2009-04,1.283,
2009-07,1.304,
2009-10,1.301,
2010-01,1.247,
2010-04,1.245,
2010-07,1.266,
2010-10,1.246,
2011-01,1.237,
2011-04,1.240,
2011-07,1.216,
2011-10,1.193,
2012-01,1.179,
2012-04,1.198,
2012-07,1.197,
2012-10,1.168,
2013-01,1.187,
2013-04,1.178,
2013-07,1.177,
2013-10,1.180,
2014-01,1.176,
2014-04,1.190,
2014-07,1.128,
