"",BBK01.OEHB20N,BBK01.OEHB20N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:14,
2002-01,67.319,
2002-04,67.990,
2002-07,68.811,
2002-10,70.211,
2003-01,70.280,
2003-04,70.907,
2003-07,72.008,
2003-10,73.154,
2004-01,73.782,
2004-04,74.269,
2004-07,74.536,
2004-10,74.755,
2005-01,74.688,
2005-04,74.916,
2005-07,75.564,
2005-10,76.320,
2006-01,76.233,
2006-04,76.286,
2006-07,76.658,
2006-10,76.999,
2007-01,76.747,
2007-04,76.933,
2007-07,76.936,
2007-10,76.827,
2008-01,76.508,
2008-04,76.578,
2008-07,76.776,
2008-10,76.673,
2009-01,76.293,
2009-04,76.118,
2009-07,76.255,
2009-10,76.378,
2010-01,76.156,
2010-04,76.347,
2010-07,76.807,
2010-10,77.303,
2011-01,77.207,
2011-04,77.526,
2011-07,77.944,
2011-10,78.120,
2012-01,77.911,
2012-04,78.153,
2012-07,78.588,
2012-10,79.101,
2013-01,79.157,
2013-04,79.606,
2013-07,80.025,
2013-10,80.221,
2014-01,80.174,
2014-04,80.470,
2014-07,80.888,
