"",BBDE1.M.DE.Y.BAA1.A2R170050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R170050.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 17+18 Manufacture of paper and paper products; printing and reproduction of recorded media / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:59,
1991-01,94.0,
1991-02,93.4,
1991-03,93.0,
1991-04,93.3,
1991-05,91.7,
1991-06,94.5,
1991-07,92.4,
1991-08,92.1,
1991-09,92.7,
1991-10,92.9,
1991-11,93.5,
1991-12,91.6,
1992-01,93.3,
1992-02,94.0,
1992-03,93.2,
1992-04,92.7,
1992-05,94.1,
1992-06,90.7,
1992-07,92.0,
1992-08,91.0,
1992-09,90.8,
1992-10,90.1,
1992-11,88.7,
1992-12,89.1,
1993-01,88.9,
1993-02,87.7,
1993-03,88.9,
1993-04,87.1,
1993-05,88.0,
1993-06,88.0,
1993-07,88.1,
1993-08,88.2,
1993-09,87.9,
1993-10,87.9,
1993-11,87.5,
1993-12,87.5,
1994-01,90.8,
1994-02,87.3,
1994-03,86.9,
1994-04,88.6,
1994-05,86.9,
1994-06,87.6,
1994-07,88.7,
1994-08,87.4,
1994-09,89.2,
1994-10,90.2,
1994-11,89.9,
1994-12,90.2,
1995-01,87.4,
1995-02,88.9,
1995-03,89.6,
1995-04,90.0,
1995-05,89.5,
1995-06,89.1,
1995-07,88.5,
1995-08,88.3,
1995-09,89.3,
1995-10,87.0,
1995-11,86.4,
1995-12,84.9,
1996-01,86.0,
1996-02,86.5,
1996-03,85.9,
1996-04,86.2,
1996-05,86.0,
1996-06,87.9,
1996-07,86.2,
1996-08,88.7,
1996-09,87.7,
1996-10,88.3,
1996-11,89.2,
1996-12,89.7,
1997-01,87.6,
1997-02,89.1,
1997-03,89.3,
1997-04,86.6,
1997-05,87.4,
1997-06,86.9,
1997-07,87.3,
1997-08,87.5,
1997-09,87.0,
1997-10,88.4,
1997-11,87.9,
1997-12,89.6,
1998-01,89.9,
1998-02,89.8,
1998-03,91.8,
1998-04,90.2,
1998-05,90.4,
1998-06,89.0,
1998-07,90.0,
1998-08,90.7,
1998-09,89.3,
1998-10,86.6,
1998-11,88.0,
1998-12,88.7,
1999-01,90.8,
1999-02,89.0,
1999-03,91.0,
1999-04,91.5,
1999-05,92.7,
1999-06,92.1,
1999-07,93.0,
1999-08,91.6,
1999-09,93.1,
1999-10,93.3,
1999-11,95.5,
1999-12,96.9,
2000-01,90.4,
2000-02,92.4,
2000-03,93.0,
2000-04,94.9,
2000-05,95.3,
2000-06,95.3,
2000-07,96.5,
2000-08,96.2,
2000-09,95.9,
2000-10,95.8,
2000-11,95.3,
2000-12,94.0,
2001-01,92.6,
2001-02,93.8,
2001-03,93.2,
2001-04,90.8,
2001-05,92.5,
2001-06,92.0,
2001-07,90.7,
2001-08,93.2,
2001-09,91.6,
2001-10,91.8,
2001-11,90.5,
2001-12,92.1,
2002-01,91.3,
2002-02,92.0,
2002-03,91.2,
2002-04,92.8,
2002-05,91.4,
2002-06,91.0,
2002-07,88.9,
2002-08,91.2,
2002-09,89.6,
2002-10,89.6,
2002-11,92.0,
2002-12,88.9,
2003-01,91.2,
2003-02,90.7,
2003-03,90.6,
2003-04,91.2,
2003-05,89.2,
2003-06,89.8,
2003-07,89.9,
2003-08,88.9,
2003-09,91.4,
2003-10,91.2,
2003-11,89.5,
2003-12,91.5,
2004-01,91.6,
2004-02,91.5,
2004-03,92.4,
2004-04,91.5,
2004-05,91.2,
2004-06,93.7,
2004-07,91.9,
2004-08,91.2,
2004-09,92.7,
2004-10,91.8,
2004-11,92.9,
2004-12,92.8,
2005-01,94.0,
2005-02,93.3,
2005-03,92.9,
2005-04,94.5,
2005-05,93.9,
2005-06,94.6,
2005-07,97.4,
2005-08,97.2,
2005-09,96.2,
2005-10,97.2,
2005-11,97.8,
2005-12,95.9,
2006-01,97.2,
2006-02,96.4,
2006-03,96.6,
2006-04,98.1,
2006-05,99.3,
2006-06,98.0,
2006-07,98.4,
2006-08,99.9,
2006-09,99.3,
2006-10,100.8,
2006-11,100.7,
2006-12,101.4,
2007-01,101.3,
2007-02,101.8,
2007-03,102.1,
2007-04,101.0,
2007-05,102.7,
2007-06,101.8,
2007-07,103.8,
2007-08,103.9,
2007-09,102.5,
2007-10,103.5,
2007-11,103.6,
2007-12,104.1,
2008-01,104.9,
2008-02,104.6,
2008-03,102.9,
2008-04,103.0,
2008-05,101.8,
2008-06,101.6,
2008-07,102.8,
2008-08,103.1,
2008-09,104.0,
2008-10,103.0,
2008-11,100.9,
2008-12,100.3,
2009-01,94.8,
2009-02,95.5,
2009-03,92.5,
2009-04,94.2,
2009-05,93.5,
2009-06,94.4,
2009-07,94.7,
2009-08,96.2,
2009-09,97.5,
2009-10,96.4,
2009-11,97.0,
2009-12,97.3,
2010-01,97.2,
2010-02,96.8,
2010-03,98.5,
2010-04,99.7,
2010-05,99.7,
2010-06,100.8,
2010-07,99.2,
2010-08,100.6,
2010-09,100.1,
2010-10,99.4,
2010-11,100.4,
2010-12,100.8,
2011-01,99.5,
2011-02,100.2,
2011-03,101.5,
2011-04,100.7,
2011-05,101.4,
2011-06,100.9,
2011-07,101.4,
2011-08,100.9,
2011-09,100.1,
2011-10,99.9,
2011-11,100.2,
2011-12,98.6,
2012-01,98.1,
2012-02,98.7,
2012-03,98.8,
2012-04,98.8,
