"",BBK01.OEBB18L,BBK01.OEBB18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:21,
2002-01,2.566,
2002-04,2.415,
2002-07,2.848,
2002-10,2.532,
2003-01,2.377,
2003-04,2.577,
2003-07,2.484,
2003-10,2.660,
2004-01,2.811,
2004-04,3.020,
2004-07,3.246,
2004-10,3.218,
2005-01,2.880,
2005-04,3.022,
2005-07,2.855,
2005-10,2.881,
2006-01,2.863,
2006-04,2.967,
2006-07,3.205,
2006-10,3.143,
2007-01,2.986,
2007-04,3.824,
2007-07,3.170,
2007-10,3.373,
2008-01,3.195,
2008-04,3.311,
2008-07,3.617,
2008-10,3.580,
2009-01,3.427,
2009-04,3.410,
2009-07,3.988,
2009-10,4.168,
2010-01,3.856,
2010-04,3.780,
2010-07,3.947,
2010-10,4.186,
2011-01,3.853,
2011-04,3.955,
2011-07,4.004,
2011-10,4.090,
2012-01,4.055,
2012-04,3.960,
2012-07,4.215,
2012-10,4.187,
2013-01,4.072,
2013-04,4.210,
2013-07,4.176,
2013-10,4.244,
2014-01,4.231,
2014-04,4.313,
2014-07,4.268,
