"",BBFN1.M.DE.N.1.L.JP.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:46,
1994-12,4.550,
1995-01,4.414,
1995-02,4.268,
1995-03,4.329,
1995-04,4.305,
1995-05,4.316,
1995-06,4.423,
1995-07,4.420,
1995-08,4.390,
1995-09,4.879,
1995-10,4.906,
1995-11,4.896,
1995-12,4.794,
1996-01,4.571,
1996-02,4.629,
1996-03,4.660,
1996-04,4.781,
1996-05,4.587,
1996-06,4.532,
1996-07,4.439,
1996-08,4.306,
1996-09,4.342,
1996-10,4.513,
1996-11,4.390,
1996-12,4.591,
1997-01,4.533,
1997-02,4.478,
1997-03,4.590,
1997-04,4.529,
1997-05,4.596,
1997-06,4.721,
1997-07,4.760,
1997-08,4.783,
1997-09,4.999,
1997-10,5.205,
1997-11,5.132,
1997-12,5.251,
1998-01,5.255,
1998-02,5.206,
1998-03,5.274,
1998-04,5.181,
1998-05,5.098,
1998-06,5.063,
1998-07,4.927,
1998-08,4.978,
1998-09,5.017,
1998-10,4.988,
1998-11,4.976,
1998-12,4.727,
1999-01,4.458,
1999-02,4.732,
1999-03,4.716,
1999-04,4.721,
1999-05,4.596,
1999-06,4.504,
1999-07,4.481,
1999-08,4.569,
1999-09,4.765,
1999-10,4.808,
1999-11,4.892,
1999-12,5.141,
2000-01,5.000,
2000-02,5.110,
2000-03,5.598,
2000-04,5.512,
2000-05,5.394,
2000-06,5.685,
2000-07,5.567,
2000-08,5.650,
2000-09,5.877,
2000-10,6.004,
2000-11,5.904,
2000-12,6.049,
2001-01,5.778,
2001-02,5.633,
2001-03,5.919,
2001-04,5.867,
2001-05,5.642,
2001-06,5.646,
2001-07,5.351,
2001-08,5.158,
2001-09,5.565,
2001-10,5.655,
2001-11,5.911,
2001-12,6.085,
2002-01,5.725,
2002-02,5.747,
2002-03,5.434,
2002-04,5.230,
2002-05,5.264,
2002-06,5.184,
2002-07,5.125,
2002-08,5.178,
2002-09,5.334,
2002-10,5.820,
2002-11,5.588,
2002-12,5.651,
2003-01,5.374,
2003-02,5.477,
2003-03,5.606,
2003-04,5.921,
2003-05,5.873,
2003-06,5.788,
2003-07,5.564,
2003-08,5.629,
2003-09,5.847,
2003-10,5.789,
2003-11,5.763,
2003-12,5.688,
2004-01,5.533,
2004-02,5.334,
2004-03,5.686,
2004-04,5.609,
2004-05,5.596,
2004-06,5.823,
2004-07,5.597,
2004-08,5.527,
2004-09,5.758,
2004-10,5.922,
2004-11,6.059,
2004-12,6.053,
2005-01,5.718,
2005-02,5.612,
2005-03,5.931,
2005-04,5.743,
2005-05,5.352,
2005-06,5.502,
2005-07,5.313,
2005-08,5.326,
2005-09,5.628,
2005-10,5.896,
2005-11,5.837,
2005-12,5.817,
2006-01,5.560,
2006-02,5.418,
2006-03,5.616,
2006-04,5.362,
2006-05,5.435,
2006-06,5.646,
2006-07,5.592,
2006-08,5.651,
2006-09,5.771,
2006-10,5.993,
2006-11,5.962,
2006-12,6.150,
2007-01,6.219,
2007-02,6.213,
2007-03,7.184,
2007-04,7.216,
2007-05,7.266,
2007-06,7.703,
2007-07,7.616,
2007-08,7.547,
2007-09,7.809,
2007-10,7.952,
2007-11,7.990,
2007-12,8.288,
2008-01,8.002,
2008-02,8.768,
2008-03,8.988,
2008-04,8.749,
2008-05,8.742,
2008-06,8.983,
2008-07,8.995,
2008-08,8.868,
2008-09,9.220,
2008-10,9.638,
2008-11,9.620,
2008-12,9.346,
2009-01,8.880,
2009-02,8.299,
2009-03,7.261,
2009-04,7.192,
2009-05,8.034,
2009-06,7.950,
2009-07,7.952,
2009-08,7.963,
2009-09,7.960,
2009-10,8.274,
2009-11,8.583,
2009-12,9.597,
2010-01,9.441,
2010-02,9.284,
2010-03,9.206,
2010-04,9.672,
2010-05,10.107,
2010-06,10.365,
2010-07,10.076,
2010-08,10.262,
2010-09,10.598,
2010-10,10.387,
2010-11,10.622,
2010-12,10.686,
2011-01,10.325,
2011-02,10.315,
2011-03,10.259,
2011-04,9.799,
2011-05,9.934,
2011-06,9.601,
2011-07,9.396,
2011-08,9.442,
2011-09,9.947,
2011-10,10.349,
2011-11,10.412,
2011-12,10.867,
2012-01,10.457,
2012-02,10.279,
2012-03,10.311,
2012-04,10.060,
2012-05,10.134,
2012-06,10.214,
2012-07,10.331,
2012-08,10.283,
2012-09,10.451,
2012-10,10.614,
2012-11,10.899,
2012-12,10.908,
2013-01,10.506,
2013-02,10.184,
2013-03,10.029,
2013-04,10.085,
2013-05,10.520,
2013-06,10.476,
2013-07,10.226,
2013-08,10.239,
2013-09,10.579,
2013-10,10.864,
2013-11,11.225,
2013-12,11.439,
2014-01,11.190,
2014-02,12.013,
2014-03,10.189,
2014-04,10.513,
2014-05,10.864,
2014-06,11.155,
2014-07,11.087,
2014-08,11.023,
2014-09,11.305,
2014-10,11.689,
2014-11,11.429,
2014-12,12.159,
