"",BBSF2.M.1.S.00000.IMM01.I.F.DGG.U3.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.DGG.U3.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Loans granted to real estate companies / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:50,
2009-09,413,
2009-10,421,
2009-11,413,
2009-12,461,
2010-01,470,
2010-02,412,
2010-03,498,
2010-04,507,
2010-05,431,
2010-06,528,
2010-07,563,
2010-08,569,
2010-09,547,
2010-10,549,
2010-11,561,
2010-12,539,
2011-01,523,
2011-02,537,
2011-03,510,
2011-04,530,
2011-05,544,
2011-06,545,
2011-07,571,
2011-08,566,
2011-09,599,
2011-10,662,
2011-11,672,
2011-12,626,
2012-01,625,
2012-02,639,
2012-03,784,
2012-04,710,
2012-05,789,
2012-06,790,
2012-07,814,
2012-08,776,
2012-09,766,
2012-10,777,
2012-11,781,
2012-12,791,
2013-01,767,
2013-02,731,
2013-03,800,
2013-04,796,
2013-05,807,
2013-06,702,
2013-07,710,
2013-08,722,
2013-09,691,
2013-10,703,
2013-11,701,
2013-12,716,
2014-01,721,
2014-02,716,
2014-03,707,
2014-04,705,
2014-05,702,
2014-06,745,
2014-07,747,
2014-08,704,
2014-09,835,
2014-10,829,
2014-11,820,
