"",BBK01.CEBQQ2,BBK01.CEBQQ2_FLAGS
"",short-term time deposits (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:15,
1991-01,149.8,
1991-04,132.9,
1991-07,120.8,
1991-10,135.4,
1992-01,133.3,
1992-04,115.1,
1992-07,106.7,
1992-10,129.5,
1993-01,138.7,
1993-04,146.0,
1993-07,150.4,
1993-10,188.4,
1994-01,162.9,
1994-04,142.5,
1994-07,145.1,
1994-10,166.4,
1995-01,159.6,
1995-04,174.8,
1995-07,180.2,
1995-10,182.2,
1996-01,181.1,
1996-04,185.0,
1996-07,178.4,
1996-10,197.1,
1997-01,207.5,
1997-04,206.1,
1997-07,204.4,
1997-10,223.7,
1998-01,224.1,
1998-04,225.3,
1998-07,212.8,
1998-10,257.6,
1999-01,236.8,
1999-04,223.8,
1999-07,240.1,
1999-10,255.7,
2000-01,253.1,
2000-04,247.3,
2000-07,274.9,
2000-10,282.9,
2001-01,299.7,
2001-04,279.8,
2001-07,305.3,
2001-10,329.5,
2002-01,330.8,
2002-04,341.6,
2002-07,385.2,
2002-10,394.6,
2003-01,429.6,
2003-04,464.2,
2003-07,432.9,
2003-10,454.6,
2004-01,470.9,
2004-04,492.4,
2004-07,490.4,
2004-10,577.5,
2005-01,580.9,
2005-04,584.2,
2005-07,609.1,
2005-10,604.3,
2006-01,642.5,
2006-04,663.5,
2006-07,664.5,
2006-10,652.3,
2007-01,664.2,
2007-04,689.1,
2007-07,714.1,
2007-10,755.4,
2008-01,754.0,
2008-04,733.0,
2008-07,774.8,
2008-10,722.1,
2009-01,676.9,
2009-04,646.2,
2009-07,587.8,
2009-10,651.1,
2010-01,606.7,
2010-04,650.9,
2010-07,632.5,
2010-10,573.6,
2011-01,532.6,
2011-04,575.1,
2011-07,629.9,
2011-10,617.0,
2012-01,592.7,
2012-04,609.4,
2012-07,605.2,
2012-10,563.5,
2013-01,589.4,
2013-04,619.0,
2013-07,471.4,
2013-10,481.4,
2014-01,539.8,
