"",BBDE1.Q.DE.Y.LCC1.P2XG00100.A.L.I08.A1,BBDE1.Q.DE.Y.LCC1.P2XG00100.A.L.I08.A1_FLAGS
"",Index of non-wage costs / Germany / Section G-S - Service activities / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:22,
1996-01,91.962,
1996-04,89.913,
1996-07,91.200,
1996-10,91.966,
1997-01,93.023,
1997-04,94.518,
1997-07,93.860,
1997-10,94.412,
1998-01,94.222,
1998-04,95.489,
1998-07,96.635,
1998-10,97.769,
1999-01,96.112,
1999-04,98.366,
1999-07,98.458,
1999-10,99.456,
2000-01,99.027,
2000-04,98.067,
2000-07,100.138,
2000-10,101.306,
2001-01,100.560,
2001-04,100.582,
2001-07,100.549,
2001-10,101.822,
2002-01,104.053,
2002-04,102.833,
2002-07,103.443,
2002-10,103.819,
2003-01,106.185,
2003-04,106.405,
2003-07,107.576,
2003-10,106.390,
2004-01,105.871,
2004-04,107.034,
2004-07,106.744,
2004-10,105.495,
2005-01,104.946,
2005-04,106.492,
2005-07,103.432,
2005-10,102.839,
2006-01,102.485,
2006-04,100.912,
2006-07,101.158,
2006-10,101.634,
2007-01,101.214,
2007-04,99.420,
2007-07,99.349,
2007-10,99.595,
2008-01,98.060,
2008-04,99.266,
2008-07,101.333,
2008-10,101.340,
2009-01,102.082,
2009-04,103.541,
2009-07,104.554,
2009-10,104.565,
2010-01,106.116,
2010-04,107.660,
2010-07,108.778,
2010-10,108.816,
2011-01,109.170,
2011-04,110.347,
2011-07,110.360,
2011-10,110.973,
2012-01,112.378,
2012-04,112.391,
2012-07,113.599,
2012-10,114.645,
2013-01,116.191,
2013-04,113.444,
2013-07,112.867,
2013-10,114.280,
2014-01,113.486,
2014-04,116.007,
2014-07,116.940,
