"",BBK01.OEYL02P,BBK01.OEYL02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:03,
2002-01,0.023,
2002-04,0.024,
2002-07,0.023,
2002-10,0.024,
2003-01,0.024,
2003-04,0.026,
2003-07,0.026,
2003-10,0.027,
2004-01,0.025,
2004-04,0.024,
2004-07,0.026,
2004-10,0.029,
2005-01,0.026,
2005-04,0.030,
2005-07,0.026,
2005-10,0.032,
2006-01,0.036,
2006-04,0.059,
2006-07,0.057,
2006-10,0.059,
2007-01,0.057,
2007-04,0.062,
2007-07,0.063,
2007-10,0.058,
2008-01,0.054,
2008-04,0.048,
2008-07,0.047,
2008-10,0.053,
2009-01,0.071,
2009-04,0.074,
2009-07,0.078,
2009-10,0.093,
2010-01,0.089,
2010-04,0.095,
2010-07,0.096,
2010-10,0.097,
2011-01,0.095,
2011-04,0.094,
2011-07,0.095,
2011-10,0.095,
2012-01,0.088,
2012-04,0.094,
2012-07,0.101,
2012-10,0.100,
2013-01,0.102,
2013-04,0.102,
2013-07,0.107,
2013-10,0.113,
2014-01,0.108,
2014-04,0.110,
2014-07,0.112,
