"",BBK01.TUE385,BBK01.TUE385_FLAGS
"",Repo transactions with non-banks in the euro area / of which Enterprises and households / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:12,
1997-09,204455,
1997-10,203856,
1997-11,212575,
1997-12,203445,
1998-01,214476,
1998-02,213268,
1998-03,209782,
1998-04,203820,
1998-05,203997,
1998-06,199024,
1998-07,211077,
1998-08,203938,
1998-09,207593,
1998-10,216904,
1998-11,198947,
1998-12,174833,
1999-01,169355,
1999-02,180280,
1999-03,175400,
1999-04,168534,
1999-05,169760,
1999-06,164621,
1999-07,160855,
1999-08,159994,
1999-09,157893,
1999-10,153874,
1999-11,155784,
1999-12,141737,
2000-01,150029,
2000-02,155195,
2000-03,174035,
2000-04,176347,
2000-05,175658,
2000-06,161850,
2000-07,166034,
2000-08,162966,
2000-09,166107,
2000-10,166642,
2000-11,169157,
2000-12,172620,
2001-01,206687,
2001-02,207566,
2001-03,217969,
2001-04,215373,
2001-05,228098,
2001-06,216564,
2001-07,218074,
2001-08,225318,
2001-09,220156,
2001-10,227157,
2001-11,218296,
2001-12,214595,
2002-01,211394,
2002-02,215803,
2002-03,224947,
2002-04,223828,
2002-05,230650,
2002-06,225884,
2002-07,224911,
2002-08,231931,
2002-09,234363,
2002-10,232071,
2002-11,225810,
2002-12,224356,
2003-01,229557,
2003-02,229729,
2003-03,220779,
2003-04,227031,
2003-05,228151,
2003-06,212080,
2003-07,216388,
2003-08,214185,
2003-09,207909,
2003-10,221111,
2003-11,220850,
2003-12,206406,
2004-01,210727,
2004-02,224441,
2004-03,215003,
2004-04,221755,
2004-05,217848,
2004-06,213443,
2004-07,219549,
2004-08,220154,
2004-09,212476,
2004-10,226657,
2004-11,220860,
2004-12,225929,
2005-01,225489,
2005-02,224160,
2005-03,223150,
2005-04,222496,
2005-05,235156,
2005-06,234482,
2005-07,235282,
2005-08,245351,
2005-09,230833,
2005-10,237737,
2005-11,235851,
2005-12,219060,
2006-01,233690,
2006-02,231372,
2006-03,231612,
2006-04,245995,
2006-05,253691,
2006-06,241385,
2006-07,246693,
2006-08,260644,
2006-09,259727,
2006-10,255810,
2006-11,256729,
2006-12,244787,
2007-01,258626,
2007-02,264065,
2007-03,277309,
2007-04,276607,
2007-05,280321,
2007-06,277922,
2007-07,282480,
2007-08,292849,
2007-09,290412,
2007-10,288527,
2007-11,297037,
2007-12,278674,
2008-01,303534,
2008-02,309921,
2008-03,309882,
2008-04,322836,
2008-05,327306,
2008-06,324472,
2008-07,329016,
2008-08,338250,
2008-09,340949,
2008-10,347410,
2008-11,333390,
2008-12,327367,
2009-01,321426,
2009-02,324600,
2009-03,335498,
2009-04,335449,
2009-05,333434,
2009-06,344530,
2009-07,318925,
2009-08,308836,
2009-09,332995,
2009-10,307225,
2009-11,312696,
2009-12,324751,
2010-01,305500,
2010-02,321425,
2010-03,339592,
2010-04,360376,
2010-05,364778,
2010-06,410579,
2010-07,396653,
2010-08,398866,
2010-09,415955,
2010-10,393065,
2010-11,441804,
2010-12,440276,
2011-01,405936,
2011-02,442725,
2011-03,410196,
2011-04,435921,
2011-05,474034,
2011-06,459293,
2011-07,458756,
2011-08,504864,
2011-09,525408,
2011-10,504565,
2011-11,475036,
2011-12,402728,
2012-01,425627,
2012-02,436600,
2012-03,415596,
2012-04,425307,
2012-05,434637,
2012-06,436797,
2012-07,438931,
2012-08,422308,
2012-09,428251,
2012-10,411153,
2012-11,417426,
2012-12,372376,
2013-01,386244,
2013-02,412039,
2013-03,434201,
2013-04,423823,
2013-05,437678,
2013-06,459717,
2013-07,411293,
2013-08,332859,
2013-09,325310,
2013-10,307971,
2013-11,303362,
2013-12,287687,
2014-01,279294,
2014-02,295160,
2014-03,285350,
2014-04,276167,
2014-05,262648,
2014-06,285102,
2014-07,293403,
2014-08,296244,
2014-09,272466,
2014-10,302712,
2014-11,301381,
2014-12,290658,
2015-01,311859,
