"",BBK01.CEFE05,BBK01.CEFE05_FLAGS
"",short-term loans                                              debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:39,
1999-01,53.2,
1999-04,69.7,
1999-07,56.1,
1999-10,59.5,
2000-01,83.2,
2000-04,99.4,
2000-07,83.2,
2000-10,77.6,
2001-01,114.7,
2001-04,113.7,
2001-07,93.9,
2001-10,85.4,
2002-01,78.8,
2002-04,67.9,
2002-07,74.6,
2002-10,72.0,
2003-01,83.9,
2003-04,86.3,
2003-07,85.1,
2003-10,81.1,
2004-01,89.2,
2004-04,91.0,
2004-07,87.3,
2004-10,78.0,
2005-01,87.2,
2005-04,87.2,
2005-07,100.6,
2005-10,97.1,
2006-01,111.8,
2006-04,113.1,
2006-07,115.0,
2006-10,105.0,
2007-01,112.7,
2007-04,125.5,
2007-07,119.0,
2007-10,113.2,
2008-01,119.7,
2008-04,124.1,
2008-07,120.1,
2008-10,128.3,
2009-01,116.2,
2009-04,120.7,
2009-07,112.5,
2009-10,120.6,
2010-01,121.1,
2010-04,127.0,
2010-07,125.2,
2010-10,127.0,
2011-01,134.7,
2011-04,133.4,
2011-07,149.7,
2011-10,133.5,
2012-01,147.9,
2012-04,143.2,
2012-07,141.6,
2012-10,154.8,
2013-01,152.8,
2013-04,172.9,
2013-07,147.7,
2013-10,139.4,
2014-01,148.4,
2014-04,156.0,
2014-07,153.5,
