"",BBK01.OEBL03K,BBK01.OEBL03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:14,
2002-01,2.108,
2002-04,2.067,
2002-07,1.990,
2002-10,1.986,
2003-01,1.809,
2003-04,1.701,
2003-07,1.601,
2003-10,1.503,
2004-01,1.379,
2004-04,1.341,
2004-07,1.330,
2004-10,1.410,
2005-01,1.482,
2005-04,1.407,
2005-07,1.379,
2005-10,1.543,
2006-01,1.504,
2006-04,1.588,
2006-07,1.697,
2006-10,1.878,
2007-01,2.085,
2007-04,2.170,
2007-07,2.691,
2007-10,3.222,
2008-01,3.355,
2008-04,3.629,
2008-07,4.014,
2008-10,4.221,
2009-01,3.013,
2009-04,2.714,
2009-07,2.287,
2009-10,1.965,
2010-01,1.758,
2010-04,1.741,
2010-07,1.517,
2010-10,1.588,
2011-01,1.526,
2011-04,1.578,
2011-07,1.678,
2011-10,1.896,
2012-01,1.724,
2012-04,1.687,
2012-07,1.492,
2012-10,1.214,
2013-01,1.070,
2013-04,1.114,
2013-07,1.014,
2013-10,1.007,
2014-01,0.912,
2014-04,0.929,
2014-07,0.816,
